nodeID_from,nodeID_to,line_id,year,mode
1,3,4147,2019.0,light_rail
3,4,4147,2013.0,light_rail
4,5,4147,2007.0,light_rail
5,9,4147,2010.0,light_rail
1,3,4214,2019.0,light_rail
2,3,4214,2007.0,light_rail
3,4,4214,2013.0,light_rail
4,5,4214,2007.0,light_rail
5,9,4214,2010.0,light_rail
3,4,4215,2013.0,light_rail
4,5,4215,2007.0,light_rail
5,9,4215,2010.0,light_rail
1,3,4216,2019.0,light_rail
2,3,4216,2007.0,light_rail
3,4,4216,2013.0,light_rail
4,5,4216,2007.0,light_rail
5,9,4216,2010.0,light_rail
1,7,4217,2019.0,light_rail
6,7,4217,2019.0,light_rail
