nodeID_from,nodeID_to,line_id,year,mode
1,8,4429,1967.0,heavy_rail
1,2,4429,1967.0,heavy_rail
2,3,4429,1967.0,heavy_rail
3,4,4429,1967.0,heavy_rail
4,5,4429,1967.0,heavy_rail
8,9,4429,1970.0,heavy_rail
9,12,4429,1970.0,heavy_rail
10,11,4429,1972.0,heavy_rail
10,20,4429,1972.0,heavy_rail
11,12,4429,1972.0,heavy_rail
18,20,4429,1989.0,heavy_rail
18,19,4429,1989.0,heavy_rail
1,8,4430,1967.0,heavy_rail
1,2,4430,1967.0,heavy_rail
3,13,4430,1967.0,heavy_rail
8,9,4430,1970.0,heavy_rail
8,23,4430,1970.0,heavy_rail
9,12,4430,1970.0,heavy_rail
10,11,4430,1972.0,heavy_rail
10,20,4430,1972.0,heavy_rail
11,12,4430,1972.0,heavy_rail
13,17,4430,1976.0,heavy_rail
14,15,4430,1985.0,heavy_rail
14,21,4430,1985.0,heavy_rail
15,16,4430,1985.0,heavy_rail
16,17,4430,1985.0,heavy_rail
18,20,4430,1989.0,heavy_rail
18,19,4430,1989.0,heavy_rail
21,22,4430,2008.0,heavy_rail
22,23,4430,2009.0,heavy_rail
24,26,4431,2016.0,heavy_rail
24,25,4431,2016.0,heavy_rail
25,27,4431,2016.0,heavy_rail
26,28,4431,2021.0,heavy_rail
6,7,4432,1993.0,heavy_rail
7,29,4432,1968.0,heavy_rail
29,30,4432,,heavy_rail
30,31,4432,,heavy_rail
