nodeID_from,nodeID_to,line_id,year,mode
1,8,3530,2023.0,heavy_rail
1,13,3530,2023.0,heavy_rail
7,35,3530,2015.0,heavy_rail
7,34,3530,2015.0,heavy_rail
8,22,3530,2011.0,heavy_rail
9,29,3530,2016.0,heavy_rail
9,28,3530,2016.0,heavy_rail
10,11,3530,2021.0,heavy_rail
10,38,3530,2021.0,heavy_rail
11,12,3530,2021.0,heavy_rail
21,25,3530,2011.0,heavy_rail
21,26,3530,2011.0,heavy_rail
22,23,3530,2011.0,heavy_rail
23,24,3530,2011.0,heavy_rail
24,25,3530,2011.0,heavy_rail
26,27,3530,2016.0,heavy_rail
27,28,3530,2016.0,heavy_rail
29,30,3530,2016.0,heavy_rail
30,31,3530,2015.0,heavy_rail
31,32,3530,2015.0,heavy_rail
32,33,3530,2015.0,heavy_rail
33,34,3530,2015.0,heavy_rail
35,36,3530,2021.0,heavy_rail
36,37,3530,2021.0,heavy_rail
37,38,3530,2021.0,heavy_rail
5,57,3531,2017.0,heavy_rail
5,58,3531,2017.0,heavy_rail
9,62,3531,2016.0,heavy_rail
9,50,3531,2016.0,heavy_rail
14,39,3531,2015.0,heavy_rail
14,16,3531,2015.0,heavy_rail
15,54,3531,2017.0,heavy_rail
15,59,3531,2017.0,heavy_rail
17,51,3531,2021.0,heavy_rail
39,40,3531,2015.0,heavy_rail
40,41,3531,2015.0,heavy_rail
41,42,3531,2015.0,heavy_rail
42,43,3531,2014.0,heavy_rail
43,44,3531,2014.0,heavy_rail
44,45,3531,2014.0,heavy_rail
45,46,3531,2014.0,heavy_rail
46,47,3531,2014.0,heavy_rail
47,48,3531,2014.0,heavy_rail
48,49,3531,2014.0,heavy_rail
49,50,3531,2014.0,heavy_rail
51,52,3531,2021.0,heavy_rail
52,53,3531,2021.0,heavy_rail
53,54,3531,2021.0,heavy_rail
55,60,3531,2017.0,heavy_rail
55,56,3531,2017.0,heavy_rail
56,57,3531,2017.0,heavy_rail
58,59,3531,2017.0,heavy_rail
60,61,3531,2017.0,heavy_rail
61,62,3531,2017.0,heavy_rail
4,5,3532,2023.0,heavy_rail
4,6,3532,2023.0,heavy_rail
18,20,3533,2024.0,heavy_rail
19,20,3533,2024.0,heavy_rail
1,2,3534,2023.0,heavy_rail
1,3,3534,2023.0,heavy_rail
65,66,3536,2026.0,commuter_rail
63,65,3538,2026.0,commuter_rail
64,65,3538,2026.0,commuter_rail
67,68,4234,2028.0,heavy_rail
