nodeID_from,nodeID_to,line_id,year,mode
1,2,314,2000.0,default
1,8,314,2000.0,default
2,3,314,2000.0,default
3,4,314,2000.0,default
4,5,314,2000.0,default
5,6,314,2000.0,default
6,7,314,2000.0,default
8,9,314,2000.0,default
9,10,314,2000.0,default
10,11,314,2000.0,default
11,12,314,2000.0,default
12,13,314,2000.0,default
13,14,314,2000.0,default
14,15,314,2000.0,default
15,16,314,2000.0,default
16,17,314,2012.0,default
18,19,480,2000.0,default
19,20,480,2000.0,default
20,21,480,2000.0,default
21,22,480,2000.0,default
22,23,480,2000.0,default
23,24,480,2000.0,default
24,25,480,2000.0,default
25,26,480,2000.0,default
26,27,480,2000.0,default
27,28,480,2000.0,default
28,29,480,2000.0,default
29,30,480,2000.0,default
30,31,480,2000.0,default
36,37,521,1917.0,default
32,34,523,2018.0,default
32,33,523,2018.0,default
34,35,523,2018.0,default
