nodeID_from,nodeID_to,line_id,year,mode
1,39,612,2007.0,default
1,2,612,2007.0,default
2,3,612,2007.0,default
4,8,612,2007.0,default
4,6,612,2007.0,default
5,14,612,2007.0,default
5,13,612,2007.0,default
5,7,612,2007.0,default
6,7,612,2007.0,default
8,10,612,2007.0,default
9,10,612,2007.0,default
9,11,612,2007.0,default
11,12,612,2007.0,default
12,97,612,2007.0,default
13,15,612,2007.0,default
15,16,612,2007.0,default
16,17,612,2007.0,default
17,18,612,2007.0,default
18,19,612,2005.0,default
18,95,612,2005.0,default
20,24,612,2003.0,default
20,29,612,2003.0,default
21,25,612,2003.0,default
21,24,612,2003.0,default
21,22,612,2003.0,default
22,26,612,2008.0,default
23,27,612,2008.0,default
26,27,612,2008.0,default
28,29,612,2003.0,default
28,31,612,2003.0,default
30,31,612,2003.0,default
30,33,612,2003.0,default
32,33,612,2003.0,default
32,34,612,2003.0,default
32,43,612,2003.0,default
34,35,612,2003.0,default
35,37,612,2003.0,default
36,37,612,2003.0,default
36,39,612,2003.0,default
38,39,612,2003.0,default
40,41,612,2003.0,default
40,43,612,2003.0,default
41,44,612,2003.0,default
42,43,612,2003.0,default
44,45,612,2003.0,default
45,47,612,2003.0,default
46,47,612,2003.0,default
46,48,612,2003.0,default
48,49,612,2003.0,default
49,51,612,2003.0,default
50,51,612,2003.0,default
50,53,612,2003.0,default
52,53,612,2003.0,default
52,58,612,2003.0,default
57,58,612,2003.0,default
57,64,612,2003.0,default
57,181,612,2003.0,default
64,65,612,2003.0,default
65,66,612,2003.0,default
66,67,612,2003.0,default
67,68,612,2003.0,default
68,69,612,2003.0,default
68,73,612,2003.0,default
70,73,612,2003.0,default
70,87,612,2003.0,default
84,87,612,2003.0,default
85,86,612,2005.0,default
85,89,612,2005.0,default
85,87,612,2005.0,default
88,89,612,2005.0,default
88,90,612,2005.0,default
90,91,612,2005.0,default
90,93,612,2005.0,default
92,93,612,2005.0,default
92,94,612,2005.0,default
94,95,612,2005.0,default
96,97,612,2015.0,default
96,101,612,2015.0,default
98,100,612,2015.0,default
98,99,612,2015.0,default
98,102,612,2015.0,default
99,101,612,2015.0,default
102,103,612,2015.0,default
103,104,612,2015.0,default
104,105,612,2015.0,default
105,106,612,2015.0,default
71,72,613,2004.0,default
71,79,613,2004.0,default
72,149,613,2004.0,default
74,75,613,2004.0,default
74,76,613,2004.0,default
75,81,613,2004.0,default
76,77,613,2004.0,default
77,78,613,2004.0,default
78,79,613,2004.0,default
80,81,613,2004.0,default
81,82,613,2004.0,default
82,83,613,2004.0,default
82,108,613,2004.0,default
107,108,613,2004.0,default
108,109,613,2004.0,default
109,110,613,2004.0,default
110,112,613,2004.0,default
111,112,613,2004.0,default
111,113,613,2004.0,default
113,116,613,2004.0,default
114,115,613,2004.0,default
114,116,613,2004.0,default
115,118,613,2004.0,default
117,118,613,2004.0,default
118,122,613,2004.0,default
119,121,613,2004.0,default
119,120,613,2004.0,default
120,122,613,2004.0,default
121,123,613,2004.0,default
123,124,613,2004.0,default
124,127,613,2004.0,default
125,127,613,2004.0,default
126,128,613,2004.0,default
127,128,613,2004.0,default
128,129,613,2004.0,default
129,131,613,2004.0,default
130,132,613,2004.0,default
130,133,613,2004.0,default
131,132,613,2004.0,default
133,134,613,2004.0,default
133,140,613,2004.0,default
134,135,613,2004.0,default
135,136,613,2007.0,default
136,137,613,2007.0,default
137,138,613,2007.0,default
139,140,613,2015.0,default
140,141,613,2015.0,default
141,142,613,2015.0,default
142,144,613,2015.0,default
143,144,613,2015.0,default
144,146,613,2015.0,default
145,146,613,2015.0,default
145,148,613,2015.0,default
147,148,613,2015.0,default
149,156,613,2007.0,default
155,160,613,2007.0,default
155,162,613,2007.0,default
156,157,613,2007.0,default
156,158,613,2007.0,default
158,159,613,2007.0,default
158,160,613,2007.0,default
161,164,613,2016.0,default
162,163,613,2016.0,default
162,164,613,2016.0,default
163,165,613,2007.0,default
165,166,613,2008.0,default
165,167,613,2008.0,default
167,168,613,2008.0,default
168,169,613,2008.0,default
169,170,613,2008.0,default
170,171,613,2008.0,default
171,172,613,2008.0,default
172,173,613,2008.0,default
54,59,614,2004.0,default
54,56,614,2004.0,default
54,176,614,2004.0,default
55,56,614,2004.0,default
56,63,614,2004.0,default
60,61,614,2004.0,default
60,62,614,2004.0,default
61,153,614,2004.0,default
62,63,614,2004.0,default
150,151,614,2007.0,default
150,153,614,2007.0,default
151,200,614,2007.0,default
152,153,614,2007.0,default
153,154,614,2007.0,default
174,179,614,2004.0,default
174,182,614,2004.0,default
175,176,614,2004.0,default
175,178,614,2004.0,default
177,178,614,2004.0,default
177,179,614,2004.0,default
180,185,614,2008.0,default
180,184,614,2008.0,default
182,183,614,2008.0,default
183,184,614,2008.0,default
185,187,614,2008.0,default
186,187,614,2015.0,default
186,190,614,2015.0,default
188,190,614,2015.0,default
188,189,614,2015.0,default
189,192,614,2015.0,default
191,192,614,2015.0,default
193,194,614,2008.0,default
193,201,614,2008.0,default
194,196,614,2008.0,default
195,196,614,2007.0,default
196,197,614,2007.0,default
197,198,614,2007.0,default
198,199,614,2007.0,default
199,200,614,2007.0,default
201,202,614,2008.0,default
201,212,614,2008.0,default
202,204,614,2008.0,default
203,204,614,2014.0,default
204,205,614,2014.0,default
205,206,614,2015.0,default
206,208,614,2015.0,default
207,208,614,2015.0,default
207,209,614,2015.0,default
209,210,614,2015.0,default
211,213,614,2016.0,default
211,212,614,2016.0,default
213,214,614,2016.0,default
214,215,614,2016.0,default
216,217,615,2013.0,default
217,221,615,2016.0,default
218,219,615,2013.0,default
219,220,615,2013.0,default
220,221,615,2013.0,default
222,223,616,2019.0,default
223,224,616,2019.0,default
224,225,616,2019.0,default
225,226,616,2019.0,default
226,227,616,2019.0,default
227,228,616,2019.0,default
228,229,616,2019.0,default
229,230,616,2019.0,default
230,231,616,2019.0,default
231,232,616,2019.0,default
232,233,616,2019.0,default
233,234,616,2019.0,default
234,235,616,2019.0,default
235,236,616,2019.0,default
236,237,616,2019.0,default
