nodeID_from,nodeID_to,line_id,year,mode
88,107,1128,1898.0,heavy_rail
88,106,1128,1898.0,heavy_rail
104,110,1128,1975.0,heavy_rail
104,108,1128,1975.0,heavy_rail
105,108,1128,1975.0,heavy_rail
105,138,1128,1975.0,heavy_rail
106,141,1128,1901.0,heavy_rail
107,109,1128,1975.0,heavy_rail
109,110,1128,1901.0,heavy_rail
111,137,1128,1919.0,heavy_rail
113,128,1128,1901.0,heavy_rail
114,121,1128,1901.0,heavy_rail
114,129,1128,1901.0,heavy_rail
115,127,1128,1901.0,heavy_rail
116,124,1128,1909.0,heavy_rail
117,122,1128,1912.0,heavy_rail
118,123,1128,1909.0,heavy_rail
119,120,1128,1908.0,heavy_rail
119,121,1128,1908.0,heavy_rail
120,141,1128,1908.0,heavy_rail
122,124,1128,1987.0,heavy_rail
122,123,1128,1987.0,heavy_rail
124,125,1128,1987.0,heavy_rail
125,126,1128,1987.0,heavy_rail
126,127,1128,1987.0,heavy_rail
127,128,1128,1987.0,heavy_rail
127,128,1128,1987.0,commuter_rail
128,129,1128,1987.0,heavy_rail
135,136,1128,1977.0,heavy_rail
136,137,1128,1975.0,heavy_rail
136,137,1128,1975.0,commuter_rail
137,138,1128,1975.0,heavy_rail
139,145,1129,1904.0,heavy_rail
139,141,1129,1904.0,heavy_rail
140,141,1129,1908.0,heavy_rail
140,142,1129,1908.0,heavy_rail
142,144,1129,1904.0,heavy_rail
143,165,1129,1952.0,heavy_rail
143,164,1129,1952.0,heavy_rail
144,164,1129,1952.0,heavy_rail
145,146,1129,1916.0,heavy_rail
165,166,1129,1952.0,heavy_rail
166,168,1129,1954.0,heavy_rail
167,168,1129,1954.0,heavy_rail
1,187,1130,1928.0,heavy_rail
1,187,1130,1928.0,light_rail
1,189,1130,1928.0,heavy_rail
1,189,1130,1928.0,light_rail
85,120,1130,1897.0,heavy_rail
85,180,1130,1897.0,heavy_rail
120,181,1130,1908.0,heavy_rail
177,178,1130,1912.0,heavy_rail
177,195,1130,1912.0,heavy_rail
178,179,1130,1912.0,heavy_rail
179,180,1130,1912.0,heavy_rail
181,184,1130,1916.0,heavy_rail
182,187,1130,1927.0,heavy_rail
182,183,1130,1927.0,heavy_rail
183,186,1130,1927.0,heavy_rail
184,185,1130,1917.0,heavy_rail
185,186,1130,1918.0,heavy_rail
188,190,1130,1971.0,heavy_rail
188,192,1130,1971.0,heavy_rail
189,190,1130,1971.0,heavy_rail
191,192,1130,1980.0,heavy_rail
193,194,1130,1985.0,heavy_rail
194,195,1130,1984.0,heavy_rail
1,2,1131,1928.0,heavy_rail
1,2,1131,1928.0,light_rail
2,3,1131,1929.0,light_rail
3,4,1131,1929.0,light_rail
4,5,1131,1929.0,light_rail
5,6,1131,1929.0,light_rail
6,7,1131,1929.0,light_rail
7,8,1131,1929.0,light_rail
56,57,1133,1912.0,tram
57,58,1133,1898.0,tram
58,59,1133,1896.0,tram
59,60,1133,1896.0,tram
60,61,1133,1896.0,tram
61,62,1133,1896.0,tram
62,63,1133,1896.0,tram
63,64,1133,1896.0,tram
64,81,1133,1896.0,tram
37,38,1134,1896.0,light_rail
38,39,1134,1896.0,light_rail
39,40,1134,1900.0,light_rail
40,42,1134,1900.0,light_rail
41,42,1134,1900.0,light_rail
41,43,1134,1900.0,light_rail
43,44,1134,1900.0,light_rail
44,45,1134,1900.0,light_rail
45,46,1134,1900.0,light_rail
46,47,1134,1900.0,light_rail
47,48,1134,1900.0,light_rail
48,49,1134,1900.0,light_rail
49,50,1134,1900.0,light_rail
50,51,1134,1900.0,light_rail
51,52,1134,1900.0,light_rail
52,53,1134,1900.0,light_rail
53,54,1134,1900.0,light_rail
54,55,1134,1900.0,light_rail
65,66,1135,1889.0,light_rail
66,67,1135,1889.0,light_rail
67,69,1135,1889.0,light_rail
68,69,1135,1889.0,light_rail
68,70,1135,1889.0,light_rail
70,71,1135,1889.0,light_rail
71,72,1135,1889.0,light_rail
72,73,1135,1889.0,light_rail
73,75,1135,1889.0,light_rail
74,76,1135,1888.0,light_rail
74,75,1135,1888.0,light_rail
76,77,1135,1888.0,light_rail
77,78,1135,1888.0,light_rail
21,22,1136,1996.0,light_rail
21,23,1136,1996.0,light_rail
23,24,1136,1959.0,light_rail
24,25,1136,1959.0,light_rail
25,26,1136,1959.0,light_rail
26,27,1136,1959.0,light_rail
27,28,1136,1959.0,light_rail
28,36,1136,1959.0,light_rail
29,30,1136,1959.0,light_rail
29,36,1136,1959.0,light_rail
30,31,1136,1959.0,light_rail
31,32,1136,1959.0,light_rail
32,33,1136,1959.0,light_rail
33,34,1136,1959.0,light_rail
34,160,1136,1959.0,light_rail
35,36,1136,1930.0,light_rail
158,163,1136,2021.0,light_rail
160,161,1136,2021.0,light_rail
161,162,1136,2021.0,light_rail
162,163,1136,2021.0,light_rail
92,93,1137,1941.0,light_rail
92,157,1137,1941.0,light_rail
93,94,1137,1941.0,light_rail
94,97,1137,1883.0,light_rail
95,96,1137,1883.0,light_rail
95,97,1137,1883.0,light_rail
96,103,1137,1859.0,light_rail
99,100,1137,1945.0,light_rail
99,225,1137,1945.0,light_rail
100,101,1137,1980.0,light_rail
101,102,1137,1980.0,light_rail
102,103,1137,1980.0,light_rail
9,10,1372,1847.0,commuter_rail
10,12,1372,1847.0,commuter_rail
11,20,1372,1852.0,commuter_rail
11,16,1372,1852.0,commuter_rail
12,13,1372,1852.0,commuter_rail
13,14,1372,1906.0,commuter_rail
14,15,1372,1852.0,commuter_rail
15,16,1372,1852.0,commuter_rail
17,18,1372,1886.0,commuter_rail
17,20,1372,1886.0,commuter_rail
18,19,1372,1886.0,commuter_rail
79,80,1373,1932.0,heavy_rail
80,83,1373,1914.0,heavy_rail
82,84,1373,1921.0,heavy_rail
82,83,1373,1921.0,heavy_rail
84,85,1373,1897.0,heavy_rail
85,87,1373,1897.0,heavy_rail
86,91,1373,1898.0,heavy_rail
86,106,1373,1898.0,heavy_rail
87,91,1373,1898.0,heavy_rail
88,98,1373,1898.0,heavy_rail
88,107,1373,1898.0,heavy_rail
88,106,1373,1898.0,heavy_rail
89,159,1373,1922.0,heavy_rail
90,98,1373,1955.0,heavy_rail
90,159,1373,1955.0,heavy_rail
88,109,1409,1898.0,heavy_rail
88,134,1409,1898.0,heavy_rail
108,110,1409,1901.0,heavy_rail
109,110,1409,1901.0,heavy_rail
114,130,1409,1901.0,heavy_rail
130,131,1409,1901.0,heavy_rail
131,132,1409,1901.0,heavy_rail
132,133,1409,1901.0,heavy_rail
133,134,1409,1901.0,heavy_rail
148,211,1410,1834.0,commuter_rail
148,151,1410,1834.0,commuter_rail
151,209,1410,1834.0,commuter_rail
155,156,1410,1834.0,commuter_rail
155,209,1410,1834.0,commuter_rail
176,213,1410,1834.0,commuter_rail
176,218,1410,1834.0,commuter_rail
210,211,1410,1834.0,commuter_rail
210,212,1410,1834.0,commuter_rail
212,214,1410,1834.0,commuter_rail
213,223,1410,1834.0,commuter_rail
214,221,1410,1834.0,commuter_rail
218,220,1410,1834.0,commuter_rail
221,222,1410,1834.0,commuter_rail
222,223,1410,1850.0,commuter_rail
147,209,1411,1988.0,commuter_rail
147,149,1411,1988.0,commuter_rail
149,150,1411,2017.0,commuter_rail
150,153,1411,1973.0,commuter_rail
152,154,1411,1973.0,commuter_rail
152,153,1411,1973.0,commuter_rail
154,169,1411,1973.0,commuter_rail
156,209,1411,1899.0,commuter_rail
169,170,1411,1973.0,commuter_rail
170,171,1411,1973.0,commuter_rail
171,172,1411,1973.0,commuter_rail
172,173,1411,1973.0,commuter_rail
173,174,1411,1982.0,commuter_rail
174,175,1411,1973.0,commuter_rail
175,219,1411,2002.0,commuter_rail
215,216,1411,1994.0,commuter_rail
216,217,1411,2000.0,commuter_rail
217,219,1411,2002.0,commuter_rail
196,197,1413,1976.0,commuter_rail
196,202,1413,1976.0,commuter_rail
197,198,1413,1976.0,commuter_rail
198,199,1413,1976.0,commuter_rail
199,200,1413,1976.0,commuter_rail
200,294,1413,1976.0,commuter_rail
202,203,1413,1976.0,commuter_rail
203,204,1413,1976.0,commuter_rail
204,205,1413,1976.0,commuter_rail
205,206,1413,1976.0,commuter_rail
206,207,1413,1976.0,commuter_rail
207,208,1413,1976.0,commuter_rail
208,310,1413,1976.0,commuter_rail
293,294,1413,1893.0,commuter_rail
308,319,1413,1980.0,commuter_rail
308,313,1413,1980.0,commuter_rail
310,313,1413,1976.0,commuter_rail
315,317,1413,1980.0,commuter_rail
317,319,1413,1980.0,commuter_rail
156,229,1414,1899.0,commuter_rail
224,229,1414,1899.0,commuter_rail
224,228,1414,1899.0,commuter_rail
225,226,1414,1834.0,commuter_rail
225,226,1414,1834.0,light_rail
225,243,1414,1834.0,commuter_rail
225,243,1414,1834.0,light_rail
226,227,1414,1841.0,commuter_rail
227,240,1414,1897.0,commuter_rail
228,240,1414,1834.0,commuter_rail
241,242,1414,1834.0,commuter_rail
241,247,1414,1834.0,commuter_rail
242,245,1414,1840.0,commuter_rail
243,244,1414,1880.0,commuter_rail
244,245,1414,1880.0,commuter_rail
246,251,1414,1834.0,commuter_rail
246,247,1414,1834.0,commuter_rail
246,344,1414,1834.0,commuter_rail
248,326,1414,1835.0,commuter_rail
248,250,1414,1835.0,commuter_rail
249,250,1414,1835.0,commuter_rail
249,251,1414,1835.0,commuter_rail
324,329,1414,1916.0,commuter_rail
324,328,1414,1916.0,commuter_rail
326,327,1414,1847.0,commuter_rail
327,328,1414,1847.0,commuter_rail
329,330,1414,1847.0,commuter_rail
230,233,1415,1906.0,commuter_rail
231,237,1415,1835.0,commuter_rail
231,234,1415,1835.0,commuter_rail
233,234,1415,1906.0,commuter_rail
237,238,1415,1835.0,commuter_rail
238,239,1415,1835.0,commuter_rail
232,236,1417,1852.0,commuter_rail
232,235,1417,1852.0,commuter_rail
252,253,1418,1845.0,commuter_rail
253,254,1418,1845.0,commuter_rail
156,256,1419,1899.0,commuter_rail
156,255,1419,1899.0,commuter_rail
255,257,1419,1855.0,commuter_rail
257,260,1419,1867.0,commuter_rail
260,261,1419,1855.0,commuter_rail
261,263,1419,1855.0,commuter_rail
263,265,1419,1855.0,commuter_rail
265,267,1419,1855.0,commuter_rail
267,274,1419,1855.0,commuter_rail
268,274,1419,1855.0,commuter_rail
274,282,1419,1855.0,commuter_rail
277,282,1419,1855.0,commuter_rail
277,286,1419,1855.0,commuter_rail
286,343,1419,1852.0,commuter_rail
339,340,1419,1848.0,commuter_rail
340,341,1419,1848.0,commuter_rail
341,342,1419,1848.0,commuter_rail
342,343,1419,1848.0,commuter_rail
156,258,1420,1899.0,commuter_rail
257,258,1420,1867.0,commuter_rail
257,259,1420,1867.0,commuter_rail
259,262,1420,2013.0,commuter_rail
262,264,1420,2012.0,commuter_rail
264,266,1420,1987.0,commuter_rail
266,267,1420,2019.0,commuter_rail
267,268,1420,1855.0,commuter_rail
123,127,1421,1987.0,heavy_rail
123,127,1421,1987.0,commuter_rail
123,242,1421,1987.0,heavy_rail
123,242,1421,1987.0,commuter_rail
127,129,1421,1987.0,heavy_rail
127,129,1421,1987.0,commuter_rail
129,224,1421,1987.0,heavy_rail
129,224,1421,1987.0,commuter_rail
129,156,1421,1987.0,heavy_rail
129,156,1421,1987.0,commuter_rail
242,274,1421,1840.0,commuter_rail
268,275,1421,1855.0,commuter_rail
274,275,1421,1855.0,commuter_rail
274,281,1421,1855.0,commuter_rail
278,280,1421,1979.0,commuter_rail
278,284,1421,1979.0,commuter_rail
279,280,1421,1973.0,commuter_rail
279,281,1421,1973.0,commuter_rail
284,285,1421,1973.0,commuter_rail
285,338,1421,1973.0,commuter_rail
333,334,1421,1973.0,commuter_rail
333,335,1421,1973.0,commuter_rail
335,336,1421,1973.0,commuter_rail
336,337,1421,1973.0,commuter_rail
337,338,1421,1973.0,commuter_rail
127,129,1422,1987.0,heavy_rail
127,129,1422,1987.0,commuter_rail
127,225,1422,1987.0,heavy_rail
127,225,1422,1987.0,commuter_rail
129,156,1422,1987.0,heavy_rail
129,156,1422,1987.0,commuter_rail
225,239,1422,1834.0,commuter_rail
225,239,1422,1834.0,light_rail
230,273,1422,1906.0,commuter_rail
233,273,1422,1906.0,commuter_rail
233,272,1422,1906.0,commuter_rail
239,269,1422,1835.0,commuter_rail
269,270,1422,1987.0,commuter_rail
270,271,1422,1987.0,commuter_rail
271,272,1422,1987.0,commuter_rail
123,127,1423,1987.0,heavy_rail
123,127,1423,1987.0,commuter_rail
123,276,1423,1987.0,heavy_rail
123,276,1423,1987.0,commuter_rail
127,129,1423,1987.0,heavy_rail
127,129,1423,1987.0,commuter_rail
129,224,1423,1987.0,heavy_rail
129,224,1423,1987.0,commuter_rail
276,283,1423,1979.0,commuter_rail
283,288,1423,1973.0,commuter_rail
287,288,1423,1973.0,commuter_rail
288,290,1423,1973.0,commuter_rail
289,290,1423,1973.0,commuter_rail
290,291,1423,1973.0,commuter_rail
291,321,1423,1973.0,commuter_rail
321,322,1423,1973.0,commuter_rail
322,323,1423,1973.0,commuter_rail
323,325,1423,1990.0,commuter_rail
325,331,1423,1988.0,commuter_rail
331,332,1423,2010.0,commuter_rail
201,294,1425,1886.0,commuter_rail
201,295,1425,1886.0,commuter_rail
292,293,1425,1848.0,commuter_rail
293,294,1425,1893.0,commuter_rail
295,296,1425,1852.0,commuter_rail
296,297,1425,1860.0,commuter_rail
297,298,1425,1845.0,commuter_rail
298,299,1425,1845.0,commuter_rail
299,300,1425,1845.0,commuter_rail
300,301,1425,1845.0,commuter_rail
301,303,1425,1845.0,commuter_rail
302,304,1425,1845.0,commuter_rail
302,303,1425,1845.0,commuter_rail
304,305,1425,1845.0,commuter_rail
305,306,1425,1845.0,commuter_rail
306,307,1425,1845.0,commuter_rail
307,311,1425,1894.0,commuter_rail
309,320,1425,1845.0,commuter_rail
309,314,1425,1845.0,commuter_rail
311,312,1425,1844.0,commuter_rail
