nodeID_from,nodeID_to,line_id,year,mode
1,12,956,2012.0,default
1,11,956,2012.0,default
1,15,956,2012.0,default
2,13,956,2012.0,default
2,5,956,2012.0,default
2,7,956,2012.0,default
3,14,956,2012.0,default
4,15,956,2012.0,default
4,14,956,2012.0,default
5,16,956,2012.0,default
6,17,956,2012.0,default
7,18,956,2012.0,default
8,19,956,2012.0,default
8,14,956,2012.0,default
9,20,956,2012.0,default
10,21,956,2012.0,default
10,17,956,2012.0,default
11,22,956,2012.0,default
11,18,956,2012.0,default
16,21,956,2012.0,default
17,20,956,2012.0,default
20,34,956,2012.0,default
23,34,956,2012.0,default
24,36,956,2012.0,default
24,39,956,2012.0,default
25,37,956,2012.0,default
25,38,956,2012.0,default
26,38,956,2012.0,default
26,46,956,2012.0,default
27,39,956,2012.0,default
27,42,956,2012.0,default
28,40,956,2012.0,default
28,45,956,2012.0,default
29,41,956,2012.0,default
29,40,956,2012.0,default
30,42,956,2012.0,default
30,41,956,2012.0,default
31,43,956,2012.0,default
31,36,956,2012.0,default
31,51,956,2012.0,default
32,45,956,2012.0,default
32,37,956,2012.0,default
33,46,956,2012.0,default
33,34,956,2012.0,default
35,48,956,2012.0,default
35,47,956,2012.0,default
35,52,956,2012.0,default
44,50,956,2012.0,default
47,53,956,2012.0,default
49,54,956,2012.0,default
49,52,956,2012.0,default
50,53,956,2012.0,default
51,52,956,2012.0,default
55,56,957,2016.0,default
