nodeID,nodeLabel,latitude,longitude,mode,year,line_id
1,Basarab,44.450536591342825,26.068563233192435,heavy_rail,1992.0,4381
1,Basarab,44.450536591342825,26.068563233192435,heavy_rail,1992.0,4378
2,Gara de Nord,44.4471422175252,26.074149528542225,heavy_rail,2000.0,4381
3,Gara de Nord,44.44708507517808,26.076313606648142,heavy_rail,1987.0,4378
4,Piața Romană,44.4453718492189,26.09767977536626,heavy_rail,1988.0,4379
5,Universitate,44.43551638283526,26.1024431579728,heavy_rail,1987.0,4379
6,Piața Unirii,44.42784568269343,26.104015866239195,heavy_rail,1986.0,4379
7,Piața Unirii,44.4276061961944,26.10182149849732,heavy_rail,1979.0,4378
7,Piața Unirii,44.4276061961944,26.10182149849732,heavy_rail,1979.0,4380
8,Piața Victoriei,44.451868164053565,26.087073302560725,heavy_rail,1989.0,4378
9,Piața Victoriei,44.45270281918488,26.08636059821012,heavy_rail,1987.0,4379
10,Timpuri Noi,44.416851159932605,26.113378427281788,heavy_rail,1979.0,4378
10,Timpuri Noi,44.416851159932605,26.113378427281788,heavy_rail,1979.0,4380
11,Izvor,44.43309037313733,26.08961365684948,heavy_rail,1979.0,4378
11,Izvor,44.43309037313733,26.08961365684948,heavy_rail,1979.0,4380
12,Eroilor,44.43511350101932,26.075544677859483,heavy_rail,1979.0,4378
12,Eroilor,44.43511350101932,26.075544677859483,heavy_rail,1979.0,4380
13,Eroilor,44.43509021353864,26.074238826101865,heavy_rail,2020.0,4382
14,Grozăvești,44.44289459829966,26.05993565258774,heavy_rail,1979.0,4378
15,Petrache Poenaru,44.445308029315896,26.0465405610787,heavy_rail,1979.0,4378
16,Crângași,44.451985838436286,26.04700614738269,heavy_rail,1984.0,4378
17,Politehnica,44.43532564171343,26.055468083214294,heavy_rail,1983.0,4380
18,Lujerului,44.43421925936892,26.032411430201734,heavy_rail,1983.0,4380
19,Gorjului,44.43406673620044,26.02117840168563,heavy_rail,1994.0,4380
20,Păcii,44.433842027983104,26.004115589829496,heavy_rail,1983.0,4380
21,Preciziei,44.43056815634503,25.9908670244034,heavy_rail,1983.0,4380
22,Academia Militară,44.428851561219176,26.062913039466423,heavy_rail,2020.0,4382
23,Orizont,44.42583755100631,26.055875121929603,heavy_rail,2020.0,4382
24,Favorit,44.4246728049414,26.04843940202599,heavy_rail,2020.0,4382
25,Tudor Vladimirescu,44.42306556274838,26.041344662042007,heavy_rail,2020.0,4382
26,Parc Drumul Taberei,44.4222521373508,26.033887745199507,heavy_rail,2020.0,4382
27,Romancierilor,44.42310530482308,26.02462547447513,heavy_rail,2020.0,4382
28,Valea Ialomiței,44.42111619832852,26.015066895105377,heavy_rail,2020.0,4382
29,Constantin Brâncuși,44.41909863798031,26.02015266289871,heavy_rail,2020.0,4382
30,Râul Doamnei,44.41517786030033,26.024257362744493,heavy_rail,2020.0,4382
31,Mihai Bravu,44.41116380332261,26.125883350022264,heavy_rail,1981.0,4378
31,Mihai Bravu,44.41116380332261,26.125883350022264,heavy_rail,1981.0,4380
32,Dristor,44.41933733237292,26.14020544939484,heavy_rail,1981.0,4378
32,Dristor,44.41933733237292,26.14020544939484,heavy_rail,1981.0,4380
33,Dristor,44.42038593374386,26.13931400954124,heavy_rail,1989.0,4378
34,Nicolae Grigorescu,44.41357388959614,26.16091855463512,heavy_rail,1981.0,4378
34,Nicolae Grigorescu,44.41357388959614,26.16091855463512,heavy_rail,1981.0,4380
35,Grivița,44.46173479650153,26.057582242811804,heavy_rail,2000.0,4381
36,1 Mai,44.470413512117545,26.05077997522108,heavy_rail,2000.0,4381
37,Tineretului,44.41538761586406,26.104602335883555,heavy_rail,1986.0,4379
38,Eroii Revoluției,44.403817423481854,26.09662046487469,heavy_rail,1986.0,4379
39,Constantin Brâncoveanu,44.39856538902396,26.10913646046484,heavy_rail,1988.0,4379
40,Piața Sudului,44.39274774247204,26.12236430144111,heavy_rail,1986.0,4379
41,Apărătorii Patriei,44.37929370876196,26.13497503685056,heavy_rail,1986.0,4379
42,Dimitrie Leonida,44.3686937958604,26.143425274057336,heavy_rail,1986.0,4379
