nodeID_from,nodeID_to,line_id,year,mode
1,2,304,1898.0,default
2,3,304,1898.0,default
3,4,304,1900.0,default
4,5,304,1898.0,default
5,6,304,1898.0,default
6,7,304,1898.0,default
7,8,304,1898.0,default
8,9,304,1916.0,default
9,10,304,1898.0,default
10,11,304,1916.0,default
11,12,304,1898.0,default
12,13,304,1898.0,default
13,14,304,1898.0,default
14,15,304,1898.0,default
16,64,305,1911.0,default
16,29,305,1911.0,default
17,35,305,1911.0,default
17,18,305,1911.0,default
18,19,305,1911.0,default
19,20,305,1911.0,default
20,42,305,1911.0,default
21,42,305,1911.0,default
21,36,305,1911.0,default
22,43,305,1911.0,default
22,42,305,1911.0,default
23,45,305,1911.0,default
23,46,305,1911.0,default
24,46,305,1911.0,default
24,47,305,1911.0,default
25,47,305,1911.0,default
26,48,305,1911.0,default
26,32,305,1911.0,default
26,47,305,1911.0,default
27,33,305,1911.0,default
27,49,305,1911.0,default
27,30,305,1911.0,default
28,34,305,1911.0,default
28,51,305,1911.0,default
29,35,305,1911.0,default
30,31,305,1919.0,default
33,50,305,1933.0,default
34,50,305,1933.0,default
36,37,305,1935.0,default
37,38,305,1935.0,default
38,39,305,1935.0,default
39,40,305,1935.0,default
40,41,305,1935.0,default
43,44,305,1938.0,default
43,45,305,1938.0,default
48,49,305,1938.0,default
51,52,305,1941.0,default
52,53,305,1941.0,default
53,54,305,1941.0,default
54,57,305,1941.0,default
55,57,305,1941.0,default
55,56,305,1941.0,default
56,58,305,1941.0,default
58,59,305,1990.0,default
59,60,305,1941.0,default
60,61,305,1941.0,default
61,62,305,1989.0,default
63,65,305,1957.0,default
63,64,305,1957.0,default
65,66,305,2015.0,default
66,67,305,2006.0,default
66,68,305,2006.0,default
67,75,305,1957.0,default
69,77,305,1957.0,default
69,70,305,1957.0,default
70,71,305,1957.0,default
71,73,305,1990.0,default
72,73,305,1957.0,default
72,74,305,1957.0,default
74,75,305,1957.0,default
76,77,305,1990.0,default
