nodeID_from,nodeID_to,line_id,year,mode
1,2,4087,2022.0,heavy_rail
2,3,4087,2022.0,heavy_rail
3,4,4087,2022.0,heavy_rail
4,5,4087,2022.0,heavy_rail
5,6,4087,2022.0,heavy_rail
6,7,4087,2022.0,heavy_rail
7,8,4087,2022.0,heavy_rail
8,9,4087,2022.0,heavy_rail
9,10,4087,2022.0,heavy_rail
10,11,4087,2022.0,heavy_rail
11,12,4087,2022.0,heavy_rail
13,14,4094,2023.0,heavy_rail
14,15,4094,2023.0,heavy_rail
15,16,4094,2023.0,heavy_rail
16,17,4094,2023.0,heavy_rail
17,18,4094,2023.0,heavy_rail
18,19,4094,2023.0,heavy_rail
19,20,4094,2023.0,heavy_rail
20,21,4094,2023.0,heavy_rail
21,22,4094,2024.0,heavy_rail
22,23,4094,2024.0,heavy_rail
23,24,4094,2024.0,heavy_rail
