nodeID_from,nodeID_to,line_id,year,mode
16,17,345,0.0,default
16,18,345,0.0,default
18,19,345,0.0,default
18,20,345,0.0,default
20,21,345,0.0,default
21,24,345,0.0,default
22,23,345,0.0,default
22,25,345,0.0,default
23,30,345,0.0,default
24,25,345,0.0,default
26,29,345,0.0,default
26,27,345,0.0,default
27,28,345,0.0,default
28,32,345,0.0,default
29,31,345,0.0,default
30,31,345,0.0,default
32,33,345,0.0,default
33,34,345,0.0,default
34,39,345,0.0,default
34,42,345,0.0,default
41,43,345,0.0,default
41,45,345,0.0,default
42,43,345,0.0,default
44,45,345,0.0,default
44,47,345,0.0,default
46,47,345,0.0,default
46,53,345,0.0,default
53,56,345,0.0,default
56,57,345,0.0,default
57,58,345,0.0,default
58,60,345,0.0,default
59,61,345,0.0,default
60,62,345,0.0,default
60,61,345,0.0,default
1,11,590,0.0,default
1,6,590,0.0,default
2,4,590,0.0,default
3,10,590,0.0,default
3,4,590,0.0,default
3,11,590,0.0,default
5,8,590,0.0,default
5,9,590,0.0,default
6,9,590,0.0,default
7,36,590,0.0,default
7,35,590,0.0,default
8,36,590,0.0,default
12,35,590,0.0,default
12,38,590,0.0,default
13,37,590,0.0,default
13,40,590,0.0,default
14,38,590,0.0,default
14,37,590,0.0,default
15,40,590,0.0,default
15,49,590,0.0,default
48,49,590,0.0,default
48,54,590,0.0,default
50,54,590,0.0,default
50,51,590,0.0,default
51,74,590,0.0,default
52,75,590,0.0,default
52,55,590,0.0,default
55,73,590,0.0,default
55,74,590,0.0,default
75,77,590,0.0,default
76,80,590,0.0,default
77,80,590,0.0,default
77,82,590,0.0,default
81,82,590,0.0,default
81,83,590,0.0,default
83,85,590,0.0,default
84,85,590,0.0,default
84,87,590,0.0,default
86,88,590,0.0,default
86,87,590,0.0,default
88,89,590,0.0,default
89,92,590,0.0,default
90,92,590,0.0,default
91,96,590,0.0,default
91,93,590,0.0,default
92,93,590,0.0,default
94,95,590,0.0,default
94,99,590,0.0,default
95,96,590,0.0,default
97,99,590,0.0,default
97,98,590,0.0,default
98,101,590,0.0,default
100,101,590,0.0,default
100,102,590,0.0,default
102,105,590,0.0,default
103,104,590,0.0,default
103,105,590,0.0,default
104,106,590,0.0,default
106,107,590,0.0,default
63,68,591,0.0,default
64,66,591,0.0,default
64,67,591,0.0,default
65,66,591,0.0,default
67,69,591,0.0,default
67,72,591,0.0,default
68,70,591,0.0,default
69,70,591,0.0,default
71,72,591,0.0,default
78,79,592,0.0,default
