nodeID,nodeLabel,latitude,longitude,mode,year,line_id
1,Saint-Roch,49.4934488,0.1011876,light_rail,2012.0,1185
2,La Plage,49.4940751,0.0956681,light_rail,2012.0,1185
2,La Plage,49.4940751,0.0956681,light_rail,2012.0,1186
3,La Plage,49.4940972,0.0956974,light_rail,2012.0,1185
3,La Plage,49.4940972,0.0956974,light_rail,2012.0,1186
4,Saint-Roch,49.493477,0.1012215,light_rail,2012.0,1185
4,Saint-Roch,49.493477,0.1012215,light_rail,2012.0,1186
5,Hôtel de Ville,49.49334,0.1083877,light_rail,2012.0,1185
5,Hôtel de Ville,49.49334,0.1083877,light_rail,2012.0,1186
6,Palais de Justice,49.4925847,0.1178832,light_rail,2012.0,1185
6,Palais de Justice,49.4925847,0.1178832,light_rail,2012.0,1186
7,Gares,49.492511,0.1242312,light_rail,2012.0,1185
7,Gares,49.492511,0.1242312,light_rail,2012.0,1186
8,Gares,49.492517,0.1241973,light_rail,2012.0,1185
8,Gares,49.492517,0.1241973,light_rail,2012.0,1186
9,Hôtel de Ville,49.4933636,0.1084001,light_rail,2012.0,1185
9,Hôtel de Ville,49.4933636,0.1084001,light_rail,2012.0,1186
10,Palais de Justice,49.4926068,0.1179125,light_rail,2012.0,1185
10,Palais de Justice,49.4926068,0.1179125,light_rail,2012.0,1186
11,Rond Point,49.499323,0.1294989,light_rail,2012.0,1185
11,Rond Point,49.499323,0.1294989,light_rail,2012.0,1186
12,Université,49.4958716,0.1267999,light_rail,2012.0,1185
12,Université,49.4958716,0.1267999,light_rail,2012.0,1186
13,Université,49.4958591,0.1268436,light_rail,2012.0,1185
13,Université,49.4958591,0.1268436,light_rail,2012.0,1186
14,Rond Point,49.4993094,0.1295362,light_rail,2012.0,1185
14,Rond Point,49.4993094,0.1295362,light_rail,2012.0,1186
15,Place Jenner,49.5087735,0.1367409,light_rail,2012.0,1185
16,Mare au Clerc,49.5117969,0.1269409,light_rail,2012.0,1185
17,Place Jenner,49.508755,0.1367155,light_rail,2012.0,1185
18,Mare Rouge,49.5188609,0.116369,light_rail,2012.0,1185
19,Sacré-Cœur,49.5156552,0.1210525,light_rail,2012.0,1185
20,Mare Rouge,49.5188762,0.1163786,light_rail,2012.0,1185
21,Mare au Clerc,49.5118122,0.1269505,light_rail,2012.0,1185
22,Sacré-Cœur,49.5156705,0.1210621,light_rail,2012.0,1185
23,Bigne à Fosse,49.5293663,0.115522,light_rail,2012.0,1185
24,Queneau,49.5258836,0.1154807,light_rail,2012.0,1185
25,Bigne à Fosse,49.529438,0.1152426,light_rail,2012.0,1185
26,Queneau,49.5260346,0.1156563,light_rail,2012.0,1185
27,Grand Hameau,49.5299134,0.1058672,light_rail,2012.0,1185
28,Grand Hameau,49.5299596,0.1055805,light_rail,2012.0,1185
29,Saint-Pierre,49.5118512,0.1747059,light_rail,2012.0,1186
30,Frileuse,49.5092073,0.1490284,light_rail,2012.0,1186
31,Place Jenner,49.5086262,0.1381906,light_rail,2012.0,1186
32,Atrium,49.5158279,0.1709041,light_rail,2012.0,1186
33,Caucriauville - Pré Fleuri,49.5082802,0.1800828,light_rail,2012.0,1186
34,Curie,49.5092526,0.1578066,light_rail,2012.0,1186
35,Schuman,49.5140802,0.1641527,light_rail,2012.0,1186
36,Verlaine,49.5093577,0.1641333,light_rail,2012.0,1186
37,Caucriauville - Pré Fleuri,49.5086451,0.180123,light_rail,2012.0,1186
38,Atrium,49.5160043,0.1703566,light_rail,2012.0,1186
39,Place Jenner,49.5085745,0.1377794,light_rail,2012.0,1186
40,Shuman,49.5137837,0.1637448,light_rail,2012.0,1186
41,Frileuse,49.5092041,0.1484197,light_rail,2012.0,1186
42,Curie,49.5092746,0.1571971,light_rail,2012.0,1186
43,Verlaine,49.5093782,0.1635223,light_rail,2012.0,1186
44,Saint-Pierre,49.5122493,0.1746874,light_rail,2012.0,1186
