nodeID_from,nodeID_to,line_id,year,mode
1,296,95,1919.0,heavy_rail
1,298,95,1919.0,heavy_rail
2,296,95,1919.0,heavy_rail
2,3,95,1919.0,heavy_rail
3,4,95,1919.0,heavy_rail
4,5,95,1919.0,heavy_rail
5,6,95,1919.0,heavy_rail
6,7,95,1919.0,heavy_rail
7,8,95,1919.0,heavy_rail
8,33,95,1919.0,heavy_rail
9,298,95,1921.0,heavy_rail
10,298,95,1921.0,heavy_rail
10,11,95,1921.0,heavy_rail
11,12,95,1921.0,heavy_rail
12,554,95,1988.0,heavy_rail
13,14,95,1923.0,heavy_rail
13,554,95,1923.0,heavy_rail
14,15,95,1923.0,heavy_rail
15,65,95,1923.0,heavy_rail
31,63,95,1929.0,heavy_rail
31,32,95,1929.0,heavy_rail
32,33,95,1929.0,heavy_rail
62,63,95,1961.0,heavy_rail
62,266,95,1961.0,heavy_rail
64,201,95,1962.0,heavy_rail
64,65,95,1962.0,heavy_rail
199,200,95,1994.0,heavy_rail
199,534,95,1994.0,heavy_rail
200,201,95,1994.0,heavy_rail
202,282,95,1999.0,heavy_rail
202,203,95,1999.0,heavy_rail
203,534,95,1999.0,heavy_rail
264,265,95,2007.0,heavy_rail
264,265,95,2007.0,light_rail
265,266,95,2007.0,heavy_rail
280,281,95,2007.0,heavy_rail
281,282,95,2007.0,heavy_rail
16,296,96,1924.0,heavy_rail
16,17,96,1924.0,heavy_rail
17,18,96,1924.0,heavy_rail
18,19,96,1924.0,heavy_rail
19,20,96,1924.0,heavy_rail
20,42,96,1924.0,heavy_rail
21,42,96,1924.0,heavy_rail
21,22,96,1924.0,heavy_rail
22,77,96,1924.0,heavy_rail
23,24,96,1925.0,heavy_rail
23,296,96,1925.0,heavy_rail
24,25,96,1925.0,heavy_rail
25,26,96,1925.0,heavy_rail
26,27,96,1925.0,heavy_rail
27,30,96,1925.0,heavy_rail
29,30,96,1929.0,heavy_rail
42,43,96,1932.0,heavy_rail
76,79,96,1964.0,heavy_rail
77,78,96,1964.0,heavy_rail
78,79,96,1964.0,heavy_rail
78,283,96,1964.0,heavy_rail
283,287,96,2007.0,heavy_rail
284,285,96,2011.0,heavy_rail
285,286,96,2011.0,heavy_rail
286,287,96,2011.0,heavy_rail
34,35,97,1936.0,heavy_rail
34,296,97,1936.0,heavy_rail
35,49,97,1936.0,heavy_rail
44,299,97,1944.0,heavy_rail
44,146,97,1944.0,heavy_rail
45,47,97,1941.0,heavy_rail
45,46,97,1941.0,heavy_rail
46,296,97,1941.0,heavy_rail
47,146,97,1941.0,heavy_rail
48,49,97,1949.0,heavy_rail
48,50,97,1949.0,heavy_rail
50,273,97,1951.0,heavy_rail
61,145,97,1963.0,heavy_rail
145,299,97,1995.0,heavy_rail
273,274,97,2007.0,heavy_rail
274,275,97,2007.0,heavy_rail
275,276,97,2007.0,heavy_rail
276,277,97,2007.0,heavy_rail
277,278,97,2007.0,heavy_rail
278,279,97,2007.0,heavy_rail
20,42,98,1924.0,heavy_rail
20,41,98,1924.0,heavy_rail
36,37,98,1944.0,heavy_rail
36,44,98,1944.0,heavy_rail
37,38,98,1944.0,heavy_rail
38,39,98,1944.0,heavy_rail
39,40,98,1944.0,heavy_rail
40,41,98,1944.0,heavy_rail
42,43,98,1932.0,heavy_rail
43,97,98,1932.0,heavy_rail
44,299,98,1944.0,heavy_rail
95,96,98,1973.0,heavy_rail
95,100,98,1973.0,heavy_rail
96,97,98,1973.0,heavy_rail
98,99,98,1979.0,heavy_rail
98,168,98,1979.0,heavy_rail
99,100,98,1979.0,heavy_rail
168,169,98,1998.0,heavy_rail
169,170,98,1998.0,heavy_rail
170,171,98,1998.0,heavy_rail
171,268,98,1998.0,heavy_rail
264,267,98,2007.0,heavy_rail
264,267,98,2007.0,light_rail
267,268,98,2007.0,heavy_rail
22,77,99,1924.0,heavy_rail
22,85,99,1924.0,heavy_rail
60,94,99,1999.0,heavy_rail
60,91,99,1999.0,heavy_rail
66,94,99,1968.0,heavy_rail
66,67,99,1968.0,heavy_rail
67,68,99,1968.0,heavy_rail
68,69,99,1968.0,heavy_rail
69,70,99,1968.0,heavy_rail
70,71,99,1968.0,heavy_rail
70,72,99,1968.0,heavy_rail
72,73,99,1968.0,heavy_rail
73,74,99,1968.0,heavy_rail
74,75,99,1968.0,heavy_rail
75,80,99,1968.0,heavy_rail
76,79,99,1964.0,heavy_rail
76,88,99,1964.0,heavy_rail
77,78,99,1964.0,heavy_rail
78,79,99,1964.0,heavy_rail
80,81,99,1970.0,heavy_rail
81,82,99,1970.0,heavy_rail
82,83,99,1970.0,heavy_rail
83,84,99,1970.0,heavy_rail
84,85,99,1970.0,heavy_rail
86,87,99,1980.0,heavy_rail
86,90,99,1980.0,heavy_rail
87,88,99,1980.0,heavy_rail
89,90,99,2006.0,heavy_rail
91,92,99,2002.0,heavy_rail
92,93,99,2002.0,heavy_rail
14,111,100,1923.0,heavy_rail
14,101,100,1923.0,heavy_rail
50,491,100,1951.0,heavy_rail
50,112,100,1951.0,heavy_rail
101,109,100,1979.0,heavy_rail
102,117,100,1979.0,heavy_rail
102,103,100,1979.0,heavy_rail
103,104,100,1979.0,heavy_rail
104,105,100,1979.0,heavy_rail
105,106,100,1979.0,heavy_rail
106,107,100,1979.0,heavy_rail
107,108,100,1979.0,heavy_rail
108,109,100,1979.0,heavy_rail
110,114,100,1981.0,heavy_rail
