nodeID_from,nodeID_to,line_id,year,mode
1,2,3607,1984.0,heavy_rail
1,24,3607,1984.0,heavy_rail
2,3,3607,1984.0,heavy_rail
3,4,3607,1984.0,heavy_rail
4,5,3607,1984.0,heavy_rail
5,6,3607,1984.0,heavy_rail
6,7,3607,1984.0,heavy_rail
7,8,3607,1986.0,heavy_rail
8,9,3607,2007.0,heavy_rail
24,29,3607,1984.0,heavy_rail
29,30,3607,1984.0,heavy_rail
30,31,3607,2012.0,heavy_rail
31,32,3607,2012.0,heavy_rail
32,33,3607,2012.0,heavy_rail
10,11,3608,2005.0,heavy_rail
11,12,3608,2005.0,heavy_rail
12,13,3608,2005.0,heavy_rail
13,18,3608,1995.0,heavy_rail
14,19,3608,1990.0,heavy_rail
14,20,3608,1990.0,heavy_rail
15,19,3608,1991.0,heavy_rail
15,16,3608,1991.0,heavy_rail
16,17,3608,1990.0,heavy_rail
17,23,3608,1990.0,heavy_rail
18,20,3608,1995.0,heavy_rail
21,23,3608,1997.0,heavy_rail
21,22,3608,1997.0,heavy_rail
25,26,3609,2020.0,heavy_rail
25,27,3609,2020.0,heavy_rail
26,28,3609,2020.0,heavy_rail
