nodeID_from,nodeID_to,line_id,year,mode
3,15,741,1966.0,heavy_rail
3,4,741,1966.0,heavy_rail
4,5,741,1966.0,heavy_rail
5,12,741,1966.0,heavy_rail
6,13,741,1966.0,heavy_rail
6,7,741,1966.0,heavy_rail
7,8,741,1966.0,heavy_rail
8,9,741,1966.0,heavy_rail
9,11,741,2007.0,heavy_rail
10,11,741,2007.0,heavy_rail
12,13,741,1966.0,heavy_rail
14,16,741,1966.0,heavy_rail
14,15,741,1966.0,heavy_rail
16,17,741,1966.0,heavy_rail
17,20,741,1966.0,heavy_rail
18,21,741,1967.0,heavy_rail
18,19,741,1967.0,heavy_rail
19,20,741,1967.0,heavy_rail
21,48,741,1980.0,heavy_rail
30,49,741,1978.0,heavy_rail
30,48,741,1978.0,heavy_rail
49,50,741,1980.0,heavy_rail
50,51,741,1981.0,heavy_rail
51,52,741,1981.0,heavy_rail
52,63,741,1981.0,heavy_rail
63,65,741,1982.0,heavy_rail
64,66,741,1984.0,heavy_rail
64,65,741,1984.0,heavy_rail
66,67,741,1984.0,heavy_rail
67,68,741,1984.0,heavy_rail
16,37,742,1966.0,heavy_rail
16,35,742,1966.0,heavy_rail
22,31,742,1966.0,heavy_rail
22,30,742,1966.0,heavy_rail
23,26,742,1978.0,heavy_rail
23,30,742,1978.0,heavy_rail
24,29,742,1978.0,heavy_rail
24,25,742,1978.0,heavy_rail
25,28,742,1978.0,heavy_rail
26,27,742,1978.0,heavy_rail
27,29,742,1978.0,heavy_rail
31,32,742,1966.0,heavy_rail
32,33,742,1966.0,heavy_rail
33,34,742,1966.0,heavy_rail
34,35,742,1966.0,heavy_rail
36,37,742,1966.0,heavy_rail
36,38,742,1966.0,heavy_rail
38,40,742,1966.0,heavy_rail
39,47,742,1976.0,heavy_rail
39,42,742,1976.0,heavy_rail
40,41,742,1976.0,heavy_rail
41,47,742,1976.0,heavy_rail
42,43,742,1976.0,heavy_rail
43,44,742,1976.0,heavy_rail
44,45,742,1976.0,heavy_rail
45,46,742,1976.0,heavy_rail
12,58,743,1966.0,heavy_rail
12,59,743,1966.0,heavy_rail
52,54,743,1981.0,heavy_rail
53,55,743,1988.0,heavy_rail
53,54,743,1988.0,heavy_rail
55,62,743,1988.0,heavy_rail
56,62,743,1988.0,heavy_rail
56,57,743,1988.0,heavy_rail
57,58,743,1987.0,heavy_rail
59,60,743,1986.0,heavy_rail
60,61,743,1986.0,heavy_rail
1,2,744,1967.0,heavy_rail
1,16,744,1967.0,heavy_rail
69,70,4438,1943.0,light_rail
69,75,4438,1943.0,light_rail
70,76,4438,,light_rail
71,72,4438,,light_rail
71,73,4438,,light_rail
73,74,4438,,light_rail
74,75,4438,,light_rail
76,77,4438,,light_rail
77,78,4438,,light_rail
78,79,4438,,light_rail
79,80,4438,,light_rail
80,81,4438,,light_rail
