nodeID_from,nodeID_to,line_id,year,mode
55,227,937,0.0,default
55,112,937,0.0,default
227,231,937,0.0,default
228,231,937,0.0,default
228,230,937,0.0,default
229,230,937,0.0,default
229,232,937,0.0,default
232,233,937,0.0,default
233,234,937,0.0,default
234,235,937,0.0,default
235,239,937,0.0,default
237,239,937,0.0,default
237,238,937,0.0,default
238,240,937,0.0,default
240,242,937,0.0,default
241,242,937,0.0,default
241,244,937,0.0,default
243,244,937,0.0,default
243,250,937,0.0,default
245,250,937,0.0,default
247,251,937,0.0,default
247,249,937,0.0,default
248,249,937,0.0,default
248,254,937,0.0,default
250,251,937,0.0,default
253,254,937,0.0,default
253,256,937,0.0,default
255,256,937,0.0,default
255,257,937,0.0,default
257,258,937,0.0,default
9,10,938,0.0,default
9,18,938,0.0,default
10,188,938,0.0,default
11,12,938,0.0,default
11,16,938,0.0,default
12,13,938,0.0,default
13,14,938,0.0,default
14,17,938,0.0,default
15,16,938,0.0,default
15,20,938,0.0,default
17,18,938,0.0,default
19,21,938,0.0,default
19,22,938,0.0,default
20,22,938,0.0,default
21,337,938,0.0,default
56,57,938,0.0,default
56,113,938,0.0,default
57,301,938,0.0,default
111,113,938,0.0,default
111,117,938,0.0,default
117,118,938,0.0,default
118,119,938,0.0,default
119,123,938,0.0,default
123,226,938,0.0,default
187,188,938,0.0,default
187,191,938,0.0,default
191,207,938,0.0,default
192,193,938,0.0,default
192,203,938,0.0,default
193,208,938,0.0,default
194,205,938,0.0,default
194,204,938,0.0,default
195,196,938,0.0,default
195,205,938,0.0,default
196,202,938,0.0,default
197,198,938,0.0,default
198,199,938,0.0,default
198,201,938,0.0,default
199,200,938,0.0,default
200,206,938,0.0,default
201,202,938,0.0,default
203,204,938,0.0,default
206,207,938,0.0,default
225,226,938,0.0,default
225,338,938,0.0,default
282,283,938,0.0,default
282,284,938,0.0,default
283,306,938,0.0,default
284,285,938,0.0,default
285,288,938,0.0,default
286,288,938,0.0,default
286,289,938,0.0,default
287,289,938,0.0,default
287,291,938,0.0,default
290,291,938,0.0,default
290,292,938,0.0,default
292,293,938,0.0,default
294,309,938,0.0,default
294,310,938,0.0,default
295,306,938,0.0,default
295,305,938,0.0,default
296,305,938,0.0,default
296,308,938,0.0,default
297,308,938,0.0,default
297,307,938,0.0,default
298,307,938,0.0,default
298,309,938,0.0,default
299,310,938,0.0,default
299,303,938,0.0,default
300,304,938,0.0,default
300,311,938,0.0,default
301,311,938,0.0,default
302,313,938,0.0,default
302,304,938,0.0,default
303,312,938,0.0,default
312,313,938,0.0,default
337,338,938,0.0,default
259,264,939,0.0,default
259,281,939,0.0,default
260,267,939,0.0,default
260,268,939,0.0,default
261,280,939,0.0,default
261,278,939,0.0,default
262,265,939,0.0,default
262,264,939,0.0,default
263,268,939,0.0,default
263,265,939,0.0,default
266,277,939,0.0,default
266,279,939,0.0,default
267,273,939,0.0,default
269,316,939,0.0,default
269,275,939,0.0,default
270,279,939,0.0,default
270,272,939,0.0,default
271,276,939,0.0,default
272,278,939,0.0,default
273,275,939,0.0,default
274,281,939,0.0,default
274,280,939,0.0,default
276,277,939,0.0,default
314,317,939,0.0,default
314,316,939,0.0,default
317,319,939,0.0,default
318,321,939,0.0,default
318,320,939,0.0,default
319,320,939,0.0,default
321,322,939,0.0,default
56,57,940,0.0,default
56,113,940,0.0,default
57,301,940,0.0,default
111,113,940,0.0,default
111,117,940,0.0,default
117,118,940,0.0,default
118,119,940,0.0,default
119,123,940,0.0,default
123,221,940,0.0,default
187,188,940,0.0,default
187,190,940,0.0,default
188,189,940,0.0,default
189,210,940,0.0,default
190,191,940,0.0,default
191,207,940,0.0,default
192,193,940,0.0,default
192,203,940,0.0,default
193,209,940,0.0,default
194,205,940,0.0,default
194,204,940,0.0,default
195,196,940,0.0,default
195,205,940,0.0,default
196,202,940,0.0,default
197,198,940,0.0,default
198,199,940,0.0,default
198,201,940,0.0,default
199,200,940,0.0,default
200,206,940,0.0,default
201,202,940,0.0,default
203,204,940,0.0,default
206,207,940,0.0,default
210,212,940,0.0,default
211,212,940,0.0,default
211,217,940,0.0,default
213,216,940,0.0,default
213,214,940,0.0,default
214,215,940,0.0,default
214,219,940,0.0,default
216,218,940,0.0,default
217,218,940,0.0,default
219,224,940,0.0,default
221,222,940,0.0,default
222,223,940,0.0,default
223,224,940,0.0,default
282,283,940,0.0,default
283,306,940,0.0,default
294,309,940,0.0,default
294,310,940,0.0,default
295,306,940,0.0,default
295,305,940,0.0,default
296,305,940,0.0,default
296,308,940,0.0,default
297,308,940,0.0,default
297,307,940,0.0,default
298,307,940,0.0,default
298,309,940,0.0,default
299,310,940,0.0,default
299,303,940,0.0,default
300,304,940,0.0,default
300,311,940,0.0,default
301,311,940,0.0,default
302,313,940,0.0,default
302,304,940,0.0,default
303,312,940,0.0,default
312,313,940,0.0,default
114,115,941,0.0,default
114,316,941,0.0,default
115,116,941,0.0,default
116,120,941,0.0,default
314,317,941,0.0,default
314,316,941,0.0,default
315,316,941,0.0,default
324,325,942,0.0,default
325,326,942,0.0,default
326,327,942,0.0,default
327,328,942,0.0,default
328,330,942,0.0,default
329,330,942,0.0,default
329,333,942,0.0,default
331,332,942,0.0,default
331,336,942,0.0,default
333,335,942,0.0,default
334,336,942,0.0,default
334,335,942,0.0,default
114,115,943,0.0,default
114,319,943,0.0,default
115,116,943,0.0,default
116,120,943,0.0,default
318,321,943,0.0,default
318,320,943,0.0,default
319,320,943,0.0,default
321,323,943,0.0,default
55,227,944,0.0,default
55,112,944,0.0,default
227,231,944,0.0,default
228,231,944,0.0,default
228,230,944,0.0,default
229,230,944,0.0,default
229,232,944,0.0,default
232,233,944,0.0,default
233,234,944,0.0,default
234,235,944,0.0,default
235,239,944,0.0,default
237,239,944,0.0,default
237,238,944,0.0,default
238,240,944,0.0,default
240,242,944,0.0,default
241,242,944,0.0,default
241,244,944,0.0,default
243,244,944,0.0,default
243,246,944,0.0,default
245,252,944,0.0,default
246,252,944,0.0,default
55,227,945,0.0,default
55,112,945,0.0,default
227,231,945,0.0,default
228,231,945,0.0,default
228,230,945,0.0,default
229,230,945,0.0,default
229,232,945,0.0,default
232,233,945,0.0,default
233,236,945,0.0,default
1,220,946,0.0,default
1,51,946,0.0,default
2,54,946,0.0,default
2,56,946,0.0,default
3,4,946,0.0,default
3,35,946,0.0,default
4,220,946,0.0,default
5,52,946,0.0,default
5,54,946,0.0,default
6,51,946,0.0,default
6,7,946,0.0,default
7,53,946,0.0,default
8,50,946,0.0,default
8,52,946,0.0,default
23,24,946,0.0,default
23,27,946,0.0,default
24,35,946,0.0,default
25,26,946,0.0,default
25,28,946,0.0,default
25,39,946,0.0,default
27,28,946,0.0,default
39,40,946,0.0,default
40,48,946,0.0,default
41,47,946,0.0,default
41,49,946,0.0,default
42,45,946,0.0,default
42,43,946,0.0,default
44,46,946,0.0,default
44,47,946,0.0,default
45,46,946,0.0,default
48,49,946,0.0,default
50,53,946,0.0,default
56,57,946,0.0,default
57,69,946,0.0,default
58,63,946,0.0,default
58,61,946,0.0,default
59,64,946,0.0,default
59,68,946,0.0,default
60,62,946,0.0,default
60,85,946,0.0,default
61,65,946,0.0,default
62,75,946,0.0,default
63,66,946,0.0,default
64,72,946,0.0,default
65,67,946,0.0,default
66,68,946,0.0,default
67,75,946,0.0,default
69,70,946,0.0,default
70,74,946,0.0,default
71,72,946,0.0,default
71,73,946,0.0,default
73,74,946,0.0,default
76,87,946,0.0,default
76,90,946,0.0,default
77,84,946,0.0,default
77,83,946,0.0,default
78,83,946,0.0,default
78,80,946,0.0,default
79,85,946,0.0,default
79,81,946,0.0,default
80,81,946,0.0,default
82,86,946,0.0,default
82,87,946,0.0,default
84,86,946,0.0,default
88,89,946,0.0,default
88,91,946,0.0,default
89,93,946,0.0,default
90,93,946,0.0,default
91,92,946,0.0,default
58,63,947,0.0,default
58,61,947,0.0,default
59,64,947,0.0,default
59,68,947,0.0,default
60,62,947,0.0,default
60,106,947,0.0,default
61,65,947,0.0,default
62,75,947,0.0,default
63,66,947,0.0,default
64,72,947,0.0,default
65,67,947,0.0,default
66,68,947,0.0,default
67,75,947,0.0,default
69,70,947,0.0,default
69,113,947,0.0,default
70,74,947,0.0,default
71,72,947,0.0,default
