nodeID,nodeLabel,latitude,longitude,mode,year,line_id
1,Medaglie d'Oro,40.85055897349491,14.23080532763717,heavy_rail,1993.0,252
2,Vanvitelli,40.84388400226359,14.231752683795833,heavy_rail,1993.0,252
3,Colli Aminei,40.86977910946808,14.228627176477543,heavy_rail,1993.0,252
4,Montedonzelli,40.85589370079538,14.224228849060836,heavy_rail,1993.0,252
5,Rione Alto,40.861179856848736,14.22046769711318,heavy_rail,1993.0,252
6,Policlinico,40.86513017298475,14.221585997252705,heavy_rail,1993.0,252
7,Frullone,40.88045998383342,14.231109436475094,heavy_rail,1995.0,252
8,Chiaiano,40.89073322616858,14.223554899124252,heavy_rail,1995.0,252
9,Piscinola,40.892806644341135,14.240055577820954,heavy_rail,1995.0,252
10,Quattro Giornate,40.84557329802658,14.225060278938344,heavy_rail,2001.0,252
11,Salvator Rosa,40.8508879197837,14.236444809576824,heavy_rail,2001.0,252
12,Materdei,40.85571101882766,14.24323838700721,heavy_rail,2001.0,252
13,Museo,40.8538292876664,14.25210779877034,heavy_rail,2001.0,252
14,Dante,40.84895234399698,14.25023265560705,heavy_rail,2002.0,252
15,Garibaldi,40.85189296288473,14.27000312507326,heavy_rail,2013.0,252
16,Università,40.8436035471197,14.255561633930595,heavy_rail,2011.0,252
17,Municipio,40.83960721896014,14.252705966753725,heavy_rail,2015.0,252
18,Toledo,40.842478709925416,14.248853874946832,heavy_rail,2012.0,252
19,Duomo,40.847625747050415,14.261667796929515,heavy_rail,2019.0,252
20,Mostra,40.824458265160615,14.19367479283664,light_rail,2007.0,253
21,Augusto,40.82603965671567,14.198352985136124,light_rail,2007.0,253
22,Lala,40.82677532326522,14.204778847350951,light_rail,2007.0,253
23,Mergellina,40.830750524364674,14.219023056960992,light_rail,2007.0,253
24,Arco Mirelli,40.83252555274649,14.22633296950329,light_rail,2023.0,253
25,San Pasquale,40.83347103950996,14.2345716591054,light_rail,2023.0,253
26,Chiaia - Monte di Dio,40.835491498541614,14.245047488494208,light_rail,2024.0,253
27,Municipio,40.83932484745927,14.252786849295376,light_rail,2024.0,253
28,Aversa Centro,40.97343645101768,14.213521454666193,heavy_rail,2009.0,4369
29,Mugnano,40.91340460795212,14.21816534164816,heavy_rail,2005.0,4369
30,Piscinola Scampia,40.89295101155503,14.240106175778491,heavy_rail,2005.0,4369
31,Melito,40.92119697943099,14.217893415176263,heavy_rail,2024.0,4369
32,Giugliano,40.92793817433278,14.217523338829976,heavy_rail,2009.0,4369
33,Aversa Ippodromo,40.96088374181912,14.210643415199598,heavy_rail,2009.0,4369
34,Piazza Cavour,40.85479712124558,14.254586054201468,commuter_rail,1925.0,4368
35,Montesanto,40.84753863392013,14.24388974072292,commuter_rail,1925.0,4368
36,Piazza Amedeo,40.83833665536548,14.233400236135282,commuter_rail,1925.0,4368
