nodeID,nodeLabel,latitude,longitude,mode,year,line_id
1,Cipoletti,-38.9419506751083,-67.99646861904814,light_rail,2015.0,1708
2,Neuquén,-38.95590932665688,-68.0583200040464,light_rail,2015.0,1708
3,Chrestia,-38.94691079119842,-68.07307636959492,brt,2019.0,1707
4,Colón,-38.94719609314807,-68.07931113451899,brt,2019.0,1707
5,Cacique Catriel,-38.94684915581201,-68.0836281269339,brt,2019.0,1707
6,San Lorenzo,-38.94632715524391,-68.08973775727424,brt,2019.0,1707
7,Padre Mascardi,-38.945809422460506,-68.09525269873589,brt,2019.0,1707
8,Collón Curá,-38.94454928288327,-68.10189041400002,brt,2019.0,1707
9,Predio Ferial,-38.94324191569405,-68.10728838145847,brt,2019.0,1707
10,Moritán,-38.941783732780834,-68.11326435674027,brt,2019.0,1707
11,Cnel. Godoy,-38.9407924360314,-68.11737696091758,brt,2019.0,1707
12,Cnel. Rhode,-38.93946135238466,-68.1228625751444,brt,2019.0,1707
13,Cnel. Racedo,-38.93810620688264,-68.12838186440032,brt,2019.0,1707
14,Necochea,-38.93697555893878,-68.13296535682548,brt,2019.0,1707
15,Centro de Transbordo Novella,-38.93446554017742,-68.13403125328156,brt,2019.0,1707
