nodeID_from,nodeID_to,line_id,year,mode
1,34,524,1980.0,default
2,3,524,1980.0,default
3,4,524,1980.0,default
4,5,524,1980.0,default
5,6,524,1980.0,default
6,7,524,1980.0,default
7,8,524,1980.0,default
8,9,524,1986.0,default
9,10,524,1980.0,default
10,11,524,1980.0,default
11,12,524,1980.0,default
12,14,524,1980.0,default
14,16,524,1980.0,default
16,18,524,1980.0,default
18,20,524,1980.0,default
20,22,524,1980.0,default
22,24,524,1981.0,default
22,25,524,1981.0,default
22,42,524,1981.0,default
25,26,524,1981.0,default
26,27,524,1981.0,default
27,28,524,1981.0,default
28,29,524,1981.0,default
29,30,524,1981.0,default
30,31,524,1981.0,default
31,32,524,1981.0,default
32,33,524,1981.0,default
33,34,524,1981.0,default
42,44,524,1981.0,default
13,15,525,1981.0,default
13,39,525,1981.0,default
15,17,525,1981.0,default
17,19,525,1981.0,default
19,21,525,1981.0,default
21,23,525,1981.0,default
23,43,525,1981.0,default
35,36,525,1981.0,default
35,40,525,1981.0,default
36,37,525,1985.0,default
37,38,525,1981.0,default
38,39,525,1981.0,default
40,41,525,1991.0,default
43,45,525,1981.0,default
45,53,525,1981.0,default
52,57,525,2002.0,default
53,54,525,2002.0,default
54,55,525,2002.0,default
55,56,525,2002.0,default
56,57,525,2002.0,default
46,47,526,1850.0,default
48,49,527,1835.0,default
49,50,527,1987.0,default
50,51,527,1909.0,default
