nodeID,nodeLabel,latitude,longitude,mode,year,line_id
1,Lapa,-12.9823236,-38.512226,default,2014.0,1006
2,Brotas,-12.9793224,-38.4990955,default,2014.0,1006
3,Bonocô,-12.9838851,-38.4837779,default,2015.0,1006
4,Acesso Norte,-12.9689433,-38.4771862,default,2014.0,1006
4,Acesso Norte,-12.9689433,-38.4771862,default,2014.0,1007
5,Retiro,-12.9562597,-38.4721686,default,2014.0,1006
6,Bom Juá,-12.9406121,-38.4705327,default,2015.0,1006
7,Pirajá,-12.9215365,-38.4669512,default,2015.0,1006
8,Detran,-12.9780026,-38.4710968,default,2016.0,1007
9,Rodoviária,-12.9784534,-38.4634711,default,2016.0,1007
10,Pernambués,-12.975744,-38.4577043,default,2017.0,1007
11,CAB,-12.9557462,-38.4289499,default,2017.0,1007
12,Pituaçu,-12.9454033,-38.4213097,default,2017.0,1007
13,Imbuí,-12.964418,-38.4361352,default,2017.0,1007
14,Flamboyant,-12.9379933,-38.4056007,default,2017.0,1007
15,Mussurunga,-12.9215276,-38.3589751,default,2017.0,1007
16,Tamburugy,-12.9346598,-38.3944504,default,2017.0,1007
17,Bairro da Paz,-12.9257564,-38.3812366,default,2017.0,1007
