nodeID_from,nodeID_to,line_id,year,mode
1,2,558,0.0,default
1,3,558,0.0,default
3,4,558,0.0,default
4,5,558,2005.0,default
5,8,558,0.0,default
6,8,558,1993.0,default
7,8,558,2012.0,default
7,9,558,2012.0,default
9,10,558,0.0,default
10,11,558,2016.0,default
11,12,558,1912.0,default
12,13,558,0.0,default
13,25,558,1912.0,default
14,18,558,1913.0,default
14,27,558,1913.0,default
17,26,558,0.0,default
17,19,558,0.0,default
19,27,558,0.0,default
25,26,558,2011.0,default
20,24,559,0.0,default
21,30,559,0.0,default
22,34,559,0.0,default
22,23,559,0.0,default
23,31,559,0.0,default
24,28,559,0.0,default
28,29,559,0.0,default
28,34,559,0.0,default
29,30,559,0.0,default
31,32,559,0.0,default
32,33,559,0.0,default
33,35,559,0.0,default
15,16,560,0.0,default
36,37,4155,,bus
