nodeID_from,nodeID_to,line_id,year,mode
5,6,3794,1998.0,heavy_rail
6,7,3794,1998.0,heavy_rail
7,8,3794,1998.0,heavy_rail
8,9,3794,1998.0,heavy_rail
9,10,3794,1998.0,heavy_rail
10,11,3794,1999.0,heavy_rail
11,12,3794,2000.0,heavy_rail
12,13,3794,2009.0,heavy_rail
13,14,3794,2009.0,heavy_rail
14,15,3794,2009.0,heavy_rail
15,16,3794,2009.0,heavy_rail
16,17,3794,2009.0,heavy_rail
17,18,3794,2009.0,heavy_rail
18,19,3794,2015.0,heavy_rail
19,20,3794,2015.0,heavy_rail
1,2,3795,2015.0,heavy_rail
2,3,3795,2015.0,heavy_rail
3,4,3795,2015.0,heavy_rail
4,35,3795,2015.0,heavy_rail
5,6,3795,1998.0,heavy_rail
6,7,3795,1998.0,heavy_rail
7,8,3795,1998.0,heavy_rail
8,9,3795,1998.0,heavy_rail
9,10,3795,1998.0,heavy_rail
10,11,3795,1999.0,heavy_rail
11,29,3795,2000.0,heavy_rail
11,30,3795,2000.0,heavy_rail
12,13,3795,2009.0,heavy_rail
13,30,3795,2009.0,heavy_rail
13,14,3795,2009.0,heavy_rail
14,15,3795,2009.0,heavy_rail
15,16,3795,2009.0,heavy_rail
16,17,3795,2009.0,heavy_rail
17,34,3795,2009.0,heavy_rail
21,22,3795,2003.0,heavy_rail
22,23,3795,2012.0,heavy_rail
23,24,3795,2012.0,heavy_rail
24,25,3795,2012.0,heavy_rail
25,26,3795,2012.0,heavy_rail
26,27,3795,2012.0,heavy_rail
27,28,3795,2012.0,heavy_rail
28,29,3795,2012.0,heavy_rail
30,31,3795,2012.0,heavy_rail
31,32,3795,2012.0,heavy_rail
32,33,3795,2012.0,heavy_rail
34,35,3795,2012.0,heavy_rail
30,39,3796,2012.0,heavy_rail
30,40,3796,2012.0,heavy_rail
36,37,3796,2020.0,heavy_rail
37,38,3796,2020.0,heavy_rail
38,39,3796,2020.0,heavy_rail
40,41,3796,2020.0,heavy_rail
41,42,3796,2020.0,heavy_rail
42,43,3796,2020.0,heavy_rail
43,44,3796,2021.0,heavy_rail
44,45,3796,2021.0,heavy_rail
45,46,3796,2021.0,heavy_rail
1,2,3797,2015.0,heavy_rail
2,3,3797,2015.0,heavy_rail
3,4,3797,2015.0,heavy_rail
4,35,3797,2015.0,heavy_rail
5,6,3797,1998.0,heavy_rail
5,21,3797,1998.0,heavy_rail
6,7,3797,1998.0,heavy_rail
7,8,3797,1998.0,heavy_rail
8,9,3797,1998.0,heavy_rail
9,10,3797,1998.0,heavy_rail
10,11,3797,1999.0,heavy_rail
11,12,3797,2000.0,heavy_rail
12,13,3797,2009.0,heavy_rail
13,14,3797,2009.0,heavy_rail
14,15,3797,2009.0,heavy_rail
15,16,3797,2009.0,heavy_rail
16,17,3797,2009.0,heavy_rail
17,34,3797,2009.0,heavy_rail
34,35,3797,2012.0,heavy_rail
