nodeID_from,nodeID_to,line_id,year,mode
1,5,3779,1993.0,light_rail
1,7,3779,1993.0,light_rail
2,3,3779,1993.0,light_rail
2,10,3779,1993.0,light_rail
3,6,3779,1993.0,light_rail
4,17,3779,1993.0,light_rail
4,9,3779,1993.0,light_rail
5,9,3779,2018.0,light_rail
6,8,3779,1993.0,light_rail
7,8,3779,1993.0,light_rail
10,11,3779,1993.0,light_rail
11,12,3779,1994.0,light_rail
12,13,3779,1993.0,light_rail
13,22,3779,2001.0,light_rail
14,17,3779,1993.0,light_rail
14,16,3779,1993.0,light_rail
15,18,3779,1993.0,light_rail
15,16,3779,1993.0,light_rail
18,19,3779,1993.0,light_rail
19,20,3779,1993.0,light_rail
20,21,3779,1998.0,light_rail
22,23,3779,2001.0,light_rail
23,24,3779,2001.0,light_rail
24,25,3779,2001.0,light_rail
25,26,3779,2001.0,light_rail
26,27,3779,2001.0,light_rail
27,28,3779,2001.0,light_rail
28,29,3779,2001.0,light_rail
1,5,3780,1993.0,light_rail
1,7,3780,1993.0,light_rail
2,3,3780,1993.0,light_rail
2,10,3780,1993.0,light_rail
3,6,3780,1993.0,light_rail
4,30,3780,1993.0,light_rail
4,9,3780,1993.0,light_rail
5,9,3780,2018.0,light_rail
6,8,3780,1993.0,light_rail
7,8,3780,1993.0,light_rail
10,11,3780,1993.0,light_rail
11,12,3780,1994.0,light_rail
12,13,3780,1993.0,light_rail
13,22,3780,2001.0,light_rail
22,23,3780,2001.0,light_rail
23,24,3780,2001.0,light_rail
30,31,3780,2006.0,light_rail
31,33,3780,2006.0,light_rail
32,33,3780,2006.0,light_rail
32,34,3780,2006.0,light_rail
34,35,3780,2006.0,light_rail
35,36,3780,2006.0,light_rail
36,37,3780,2006.0,light_rail
37,38,3780,2006.0,light_rail
