nodeID_from,nodeID_to,line_id,year,mode
1,2,3615,1955.0,heavy_rail
1,4,3615,1955.0,heavy_rail
2,3,3615,1955.0,heavy_rail
3,14,3615,1956.0,heavy_rail
4,5,3615,1958.0,heavy_rail
5,6,3615,1958.0,heavy_rail
6,7,3615,1975.0,heavy_rail
7,8,3615,1975.0,heavy_rail
8,9,3615,1975.0,heavy_rail
9,10,3615,1975.0,heavy_rail
10,11,3615,1975.0,heavy_rail
11,12,3615,1978.0,heavy_rail
14,15,3615,1955.0,heavy_rail
15,19,3615,1955.0,heavy_rail
16,20,3615,1955.0,heavy_rail
16,19,3615,1955.0,heavy_rail
17,18,3615,1977.0,heavy_rail
18,21,3615,1977.0,heavy_rail
20,21,3615,1955.0,heavy_rail
13,25,3616,1961.0,heavy_rail
13,35,3616,1961.0,heavy_rail
22,23,3616,1969.0,heavy_rail
22,26,3616,1969.0,heavy_rail
23,27,3616,1961.0,heavy_rail
24,27,3616,1961.0,heavy_rail
24,25,3616,1961.0,heavy_rail
26,28,3616,1972.0,heavy_rail
35,42,3616,1963.0,heavy_rail
42,43,3616,1963.0,heavy_rail
43,44,3616,1963.0,heavy_rail
44,45,3616,1963.0,heavy_rail
45,46,3616,1982.0,heavy_rail
46,47,3616,1982.0,heavy_rail
47,48,3616,1982.0,heavy_rail
48,49,3616,1988.0,heavy_rail
49,50,3616,1988.0,heavy_rail
51,55,3617,1967.0,heavy_rail
51,61,3617,1967.0,heavy_rail
52,56,3617,1967.0,heavy_rail
52,55,3617,1967.0,heavy_rail
53,54,3617,2018.0,heavy_rail
54,56,3617,2018.0,heavy_rail
57,58,3617,1981.0,heavy_rail
57,59,3617,1981.0,heavy_rail
58,62,3617,1981.0,heavy_rail
59,60,3617,1970.0,heavy_rail
60,61,3617,1970.0,heavy_rail
32,39,3618,2005.0,heavy_rail
34,63,3618,1991.0,heavy_rail
34,70,3618,1991.0,heavy_rail
34,40,3618,1991.0,heavy_rail
38,39,3618,1999.0,heavy_rail
38,41,3618,1999.0,heavy_rail
40,41,3618,1997.0,heavy_rail
64,67,3618,1985.0,heavy_rail
64,68,3618,1985.0,heavy_rail
65,66,3618,1987.0,heavy_rail
66,67,3618,1985.0,heavy_rail
68,69,3618,1985.0,heavy_rail
69,70,3618,1991.0,heavy_rail
29,73,3619,2012.0,heavy_rail
29,30,3619,2012.0,heavy_rail
30,37,3619,2012.0,heavy_rail
31,33,3619,2010.0,heavy_rail
31,37,3619,2010.0,heavy_rail
32,39,3619,2005.0,heavy_rail
33,34,3619,2008.0,heavy_rail
34,36,3619,1991.0,heavy_rail
36,40,3619,2011.0,heavy_rail
38,39,3619,1999.0,heavy_rail
38,41,3619,1999.0,heavy_rail
40,41,3619,1997.0,heavy_rail
71,72,3619,2019.0,heavy_rail
72,73,3619,2019.0,heavy_rail
