nodeID_from,nodeID_to,line_id,year,mode
9,10,261,1975.0,heavy_rail
9,27,261,1975.0,heavy_rail
10,37,261,1975.0,heavy_rail
16,29,261,1978.0,heavy_rail
16,30,261,1978.0,heavy_rail
17,18,261,1975.0,heavy_rail
17,24,261,1975.0,heavy_rail
18,34,261,1975.0,heavy_rail
22,23,261,1998.0,heavy_rail
23,24,261,1998.0,heavy_rail
27,28,261,1975.0,heavy_rail
28,29,261,1975.0,heavy_rail
30,31,261,1975.0,heavy_rail
31,32,261,1975.0,heavy_rail
32,33,261,1975.0,heavy_rail
33,34,261,1975.0,heavy_rail
35,36,261,1974.0,heavy_rail
36,41,261,1974.0,heavy_rail
37,38,261,1974.0,heavy_rail
38,39,261,1974.0,heavy_rail
39,40,261,1974.0,heavy_rail
40,41,261,1974.0,heavy_rail
1,2,262,1998.0,heavy_rail
2,3,262,1998.0,heavy_rail
3,6,262,1992.0,heavy_rail
5,15,262,2014.0,brt
5,15,262,2014.0,heavy_rail
6,7,262,1991.0,heavy_rail
7,8,262,1991.0,heavy_rail
8,9,262,1991.0,heavy_rail
9,10,262,1975.0,heavy_rail
10,11,262,1975.0,heavy_rail
11,12,262,2006.0,heavy_rail
12,13,262,2006.0,heavy_rail
13,14,262,2007.0,heavy_rail
14,15,262,2010.0,heavy_rail
16,57,263,1978.0,heavy_rail
16,20,263,1978.0,heavy_rail
19,21,263,1979.0,heavy_rail
19,20,263,1979.0,heavy_rail
21,56,263,1920.0,heavy_rail
43,60,263,1892.0,heavy_rail
56,137,263,1981.0,heavy_rail
57,58,263,1983.0,heavy_rail
58,59,263,1982.0,heavy_rail
59,60,263,1983.0,heavy_rail
82,88,263,1894.0,heavy_rail
82,83,263,1894.0,heavy_rail
83,137,263,1934.0,heavy_rail
84,85,263,1988.0,heavy_rail
85,86,263,1921.0,heavy_rail
86,87,263,1948.0,heavy_rail
87,88,263,1988.0,heavy_rail
11,38,264,2006.0,heavy_rail
38,167,264,1974.0,heavy_rail
118,124,264,2014.0,heavy_rail
118,166,264,2014.0,heavy_rail
119,120,264,2002.0,heavy_rail
120,121,264,2002.0,heavy_rail
121,122,264,2002.0,heavy_rail
122,123,264,2002.0,heavy_rail
123,124,264,2002.0,heavy_rail
166,172,264,2017.0,heavy_rail
167,168,264,2018.0,heavy_rail
168,170,264,2018.0,heavy_rail
169,170,264,2018.0,heavy_rail
169,197,264,2018.0,heavy_rail
171,172,264,2017.0,heavy_rail
171,197,264,2017.0,heavy_rail
4,187,265,2014.0,heavy_rail
4,5,265,2014.0,heavy_rail
159,193,265,2019.0,heavy_rail
159,257,265,2019.0,heavy_rail
187,188,265,2018.0,heavy_rail
188,190,265,2018.0,heavy_rail
189,191,265,2019.0,heavy_rail
189,192,265,2019.0,heavy_rail
190,191,265,2018.0,heavy_rail
192,193,265,2019.0,heavy_rail
25,100,266,2010.0,heavy_rail
25,117,266,2010.0,heavy_rail
26,163,266,2010.0,heavy_rail
26,164,266,2010.0,heavy_rail
31,58,266,1975.0,heavy_rail
58,163,266,1982.0,heavy_rail
100,116,266,1957.0,heavy_rail
116,165,266,2011.0,heavy_rail
117,164,266,2014.0,heavy_rail
157,165,266,2021.0,heavy_rail
42,43,267,1867.0,heavy_rail
43,44,267,1892.0,heavy_rail
44,45,267,1867.0,heavy_rail
45,46,267,1899.0,heavy_rail
46,47,267,1960.0,heavy_rail
47,48,267,1885.0,heavy_rail
48,49,267,1955.0,heavy_rail
49,50,267,1891.0,heavy_rail
50,51,267,2013.0,heavy_rail
51,52,267,1867.0,heavy_rail
52,53,267,1883.0,heavy_rail
53,54,267,1888.0,heavy_rail
54,55,267,1955.0,heavy_rail
55,253,267,1867.0,heavy_rail
253,254,267,1908.0,heavy_rail
254,255,267,1881.0,heavy_rail
255,256,267,1891.0,heavy_rail
43,61,268,1892.0,heavy_rail
43,62,268,1892.0,heavy_rail
62,63,268,1958.0,heavy_rail
63,64,268,1920.0,heavy_rail
64,65,268,1931.0,heavy_rail
65,66,268,1919.0,heavy_rail
66,67,268,1892.0,heavy_rail
67,68,268,1946.0,heavy_rail
68,69,268,1929.0,heavy_rail
69,70,268,1951.0,heavy_rail
70,71,268,1921.0,heavy_rail
71,72,268,1940.0,heavy_rail
72,73,268,1941.0,heavy_rail
73,74,268,1875.0,heavy_rail
74,75,268,1966.0,heavy_rail
75,76,268,1951.0,heavy_rail
76,77,268,1925.0,heavy_rail
77,78,268,1955.0,heavy_rail
78,81,268,1951.0,heavy_rail
79,81,268,1975.0,heavy_rail
79,80,268,1975.0,heavy_rail
65,66,269,1919.0,heavy_rail
65,103,269,1919.0,heavy_rail
89,90,269,1992.0,heavy_rail
89,156,269,1992.0,heavy_rail
90,91,269,1957.0,heavy_rail
91,92,269,1957.0,heavy_rail
92,93,269,1957.0,heavy_rail
93,123,269,1960.0,heavy_rail
94,95,269,2000.0,heavy_rail
94,123,269,2000.0,heavy_rail
95,96,269,1957.0,heavy_rail
96,97,269,2000.0,heavy_rail
97,98,269,1960.0,heavy_rail
98,99,269,1970.0,heavy_rail
99,100,269,2000.0,heavy_rail
100,101,269,1957.0,heavy_rail
101,102,269,1981.0,heavy_rail
102,103,269,1960.0,heavy_rail
155,156,269,,heavy_rail
15,114,270,2010.0,heavy_rail
15,113,270,2010.0,heavy_rail
104,138,270,1867.0,heavy_rail
105,106,270,1867.0,heavy_rail
106,107,270,1885.0,heavy_rail
107,108,270,1907.0,heavy_rail
108,109,270,1883.0,heavy_rail
109,110,270,1920.0,heavy_rail
110,111,270,1867.0,heavy_rail
111,112,270,1952.0,heavy_rail
112,113,270,1933.0,heavy_rail
114,115,270,1886.0,heavy_rail
115,138,270,1898.0,heavy_rail
42,138,271,1867.0,heavy_rail
42,43,271,1867.0,heavy_rail
84,136,271,1988.0,heavy_rail
84,137,271,1988.0,heavy_rail
125,126,271,1976.0,heavy_rail
126,127,271,1875.0,heavy_rail
127,128,271,1914.0,heavy_rail
128,129,271,1914.0,heavy_rail
129,130,271,1875.0,heavy_rail
130,131,271,1926.0,heavy_rail
131,132,271,1875.0,heavy_rail
132,133,271,1926.0,heavy_rail
133,134,271,1998.0,heavy_rail
134,135,271,1875.0,heavy_rail
135,136,271,2000.0,heavy_rail
137,138,271,1934.0,heavy_rail
129,130,272,1875.0,heavy_rail
130,139,272,1926.0,heavy_rail
137,138,272,1934.0,heavy_rail
137,148,272,1934.0,heavy_rail
139,140,272,1950.0,heavy_rail
140,141,272,1926.0,heavy_rail
141,142,272,1926.0,heavy_rail
142,143,272,2008.0,heavy_rail
143,144,272,1926.0,heavy_rail
144,145,272,2008.0,heavy_rail
145,146,272,1926.0,heavy_rail
146,147,272,1926.0,heavy_rail
147,148,272,2008.0,heavy_rail
194,195,274,,heavy_rail
195,196,274,,heavy_rail
196,197,274,999999.0,heavy_rail
197,200,274,999999.0,heavy_rail
198,199,274,,heavy_rail
198,201,274,,heavy_rail
200,201,274,,heavy_rail
158,178,275,,heavy_rail
173,181,275,,heavy_rail
174,184,275,,heavy_rail
174,182,275,,heavy_rail
175,176,275,,heavy_rail
175,183,275,,heavy_rail
176,177,275,,heavy_rail
177,180,275,,heavy_rail
178,179,275,999999.0,heavy_rail
179,180,275,,heavy_rail
181,182,275,999999.0,heavy_rail
183,185,275,,heavy_rail
184,186,275,,heavy_rail
185,186,275,,heavy_rail
160,162,277,2017.0,heavy_rail
161,162,277,2018.0,heavy_rail
151,153,279,2009.0,light_rail
149,150,280,2009.0,light_rail
150,154,280,2009.0,light_rail
203,204,282,1898.0,light_rail
209,210,283,1914.0,light_rail
205,208,284,1914.0,light_rail
206,207,284,1914.0,light_rail
206,208,284,1914.0,light_rail
5,229,285,2014.0,brt
5,229,285,2014.0,heavy_rail
221,222,285,2007.0,brt
222,223,285,2007.0,brt
223,224,285,2007.0,brt
224,228,285,2007.0,brt
225,226,285,2007.0,brt
226,227,285,2007.0,brt
227,229,285,2007.0,brt
227,228,285,2007.0,brt
211,215,286,1990.0,bus
211,214,286,1990.0,bus
215,216,286,1990.0,bus
216,217,286,1988.0,bus
216,218,286,1988.0,bus
218,220,286,1988.0,bus
219,220,286,1988.0,bus
212,213,287,2010.0,bus
231,232,288,2012.0,bus
232,233,288,2012.0,bus
234,235,289,2012.0,bus
235,236,289,2012.0,bus
236,237,289,,bus
237,238,289,2016.0,bus
247,249,593,2003.0,bus
249,251,593,2003.0,bus
248,252,594,1991.0,bus
242,246,597,2004.0,bus
242,243,597,2004.0,bus
239,240,598,2004.0,bus
240,241,598,2004.0,bus
244,245,599,2000.0,bus
