nodeID_from,nodeID_to,line_id,year,mode
1,18,3645,2020.0,heavy_rail
2,12,3645,2020.0,heavy_rail
2,13,3645,2020.0,heavy_rail
3,9,3645,2020.0,heavy_rail
3,10,3645,2020.0,heavy_rail
4,10,3645,2020.0,heavy_rail
4,11,3645,2020.0,heavy_rail
5,23,3645,2020.0,heavy_rail
5,6,3645,2020.0,heavy_rail
6,7,3645,2020.0,heavy_rail
7,8,3645,2020.0,heavy_rail
8,9,3645,2020.0,heavy_rail
11,12,3645,2020.0,heavy_rail
13,14,3645,2020.0,heavy_rail
14,15,3645,2020.0,heavy_rail
15,16,3645,2020.0,heavy_rail
16,19,3645,2020.0,heavy_rail
17,18,3645,2020.0,heavy_rail
17,19,3645,2020.0,heavy_rail
20,21,3645,2020.0,heavy_rail
20,23,3645,2020.0,heavy_rail
21,22,3645,2020.0,heavy_rail
