nodeID_from,nodeID_to,line_id,year,mode
1,15,950,2013.0,light_rail
1,13,950,2013.0,light_rail
1,11,950,2013.0,light_rail
2,11,950,2013.0,light_rail
3,12,950,2013.0,light_rail
4,13,950,2013.0,light_rail
5,14,950,2013.0,light_rail
5,16,950,2013.0,light_rail
6,16,950,2013.0,light_rail
7,17,950,2013.0,light_rail
7,16,950,2013.0,light_rail
8,18,950,2013.0,light_rail
8,10,950,2013.0,light_rail
9,19,950,2013.0,light_rail
9,25,950,2013.0,light_rail
10,20,950,2013.0,light_rail
12,13,950,2013.0,light_rail
12,14,950,2013.0,light_rail
17,20,950,2013.0,light_rail
18,19,950,2013.0,light_rail
21,23,950,2013.0,light_rail
21,22,950,2013.0,light_rail
22,25,950,2013.0,light_rail
23,24,950,2013.0,light_rail
24,27,950,2013.0,light_rail
26,30,950,2013.0,light_rail
27,30,950,2013.0,light_rail
28,29,950,2013.0,light_rail
28,30,950,2013.0,light_rail
28,32,950,2013.0,light_rail
31,39,950,2013.0,light_rail
31,38,950,2013.0,light_rail
31,33,950,2013.0,light_rail
32,33,950,2013.0,light_rail
34,37,950,2013.0,light_rail
34,41,950,2013.0,light_rail
35,40,950,2013.0,light_rail
35,37,950,2013.0,light_rail
36,38,950,2013.0,light_rail
36,40,950,2013.0,light_rail
41,43,950,2013.0,light_rail
42,44,950,2013.0,light_rail
43,44,950,2013.0,light_rail
44,47,950,2013.0,light_rail
45,46,950,2013.0,light_rail
45,48,950,2013.0,light_rail
46,53,950,2013.0,light_rail
47,48,950,2013.0,light_rail
49,60,950,2013.0,light_rail
49,61,950,2013.0,light_rail
50,59,950,2013.0,light_rail
50,55,950,2013.0,light_rail
50,56,950,2013.0,light_rail
51,53,950,2013.0,light_rail
51,52,950,2013.0,light_rail
52,54,950,2013.0,light_rail
52,55,950,2013.0,light_rail
55,57,950,2013.0,light_rail
56,58,950,2013.0,light_rail
58,60,950,2013.0,light_rail
61,62,950,2013.0,light_rail
