nodeID_from,nodeID_to,line_id,year,mode
1,8,1203,,heavy_rail
1,8,1203,,commuter_rail
1,12,1203,,heavy_rail
1,12,1203,,commuter_rail
2,4,1203,2005.0,heavy_rail
2,5,1203,2005.0,heavy_rail
3,4,1203,2005.0,heavy_rail
5,7,1203,,heavy_rail
5,7,1203,,commuter_rail
6,11,1203,2005.0,heavy_rail
6,7,1203,2005.0,heavy_rail
8,9,1203,,heavy_rail
8,9,1203,,commuter_rail
9,10,1203,2005.0,heavy_rail
10,11,1203,,heavy_rail
10,11,1203,,commuter_rail
12,13,1203,,heavy_rail
12,13,1203,,commuter_rail
13,14,1203,,heavy_rail
13,14,1203,,commuter_rail
14,15,1203,,heavy_rail
14,15,1203,,commuter_rail
15,16,1203,,heavy_rail
15,16,1203,,commuter_rail
16,17,1203,,heavy_rail
16,17,1203,,commuter_rail
17,18,1203,,heavy_rail
17,18,1203,,commuter_rail
18,19,1203,1989.0,heavy_rail
18,19,1203,1989.0,commuter_rail
19,20,1203,,heavy_rail
19,20,1203,,commuter_rail
37,38,1276,1906.0,people_mover
21,22,1277,1892.0,people_mover
23,24,1278,1894.0,people_mover
27,28,1346,1883.0,people_mover
25,26,1347,1901.0,people_mover
29,30,1348,1903.0,people_mover
31,32,1349,1906.0,people_mover
33,34,1350,1907.0,people_mover
35,36,1351,1908.0,people_mover
39,40,1352,1911.0,people_mover
41,42,1353,1912.0,people_mover
43,44,1354,1913.0,people_mover
45,46,1355,1913.0,people_mover
47,48,1456,1906.0,people_mover
49,50,1457,1899.0,people_mover
51,52,1458,1901.0,people_mover
69,70,1460,1905.0,people_mover
61,62,1461,1907.0,people_mover
55,56,1462,1907.0,people_mover
59,60,1463,1910.0,people_mover
65,66,1464,1913.0,people_mover
67,68,1466,1914.0,people_mover
71,72,1467,1911.0,people_mover
63,64,1468,1925.0,people_mover
57,58,1469,1931.0,people_mover
53,54,1470,1925.0,people_mover
1,74,2549,,heavy_rail
1,74,2549,,commuter_rail
1,75,2549,,heavy_rail
1,75,2549,,commuter_rail
4,73,2549,,heavy_rail
4,73,2549,,commuter_rail
4,5,2549,,heavy_rail
4,5,2549,,commuter_rail
5,7,2549,,heavy_rail
5,7,2549,,commuter_rail
7,11,2549,,heavy_rail
7,11,2549,,commuter_rail
8,74,2549,,heavy_rail
8,74,2549,,commuter_rail
8,10,2549,,heavy_rail
8,10,2549,,commuter_rail
10,11,2549,,heavy_rail
10,11,2549,,commuter_rail
12,13,2549,,heavy_rail
12,13,2549,,commuter_rail
12,76,2549,,heavy_rail
12,76,2549,,commuter_rail
13,14,2549,,heavy_rail
13,14,2549,,commuter_rail
14,15,2549,,heavy_rail
14,15,2549,,commuter_rail
15,77,2549,,heavy_rail
15,77,2549,,commuter_rail
16,77,2549,,heavy_rail
16,77,2549,,commuter_rail
16,17,2549,,heavy_rail
16,17,2549,,commuter_rail
17,18,2549,,heavy_rail
17,18,2549,,commuter_rail
18,19,2549,1989.0,heavy_rail
18,19,2549,1989.0,commuter_rail
19,20,2549,,heavy_rail
19,20,2549,,commuter_rail
20,82,2549,,heavy_rail
20,82,2549,,commuter_rail
75,76,2549,1995.0,commuter_rail
78,79,2549,,commuter_rail
79,80,2549,,commuter_rail
80,81,2549,,commuter_rail
81,82,2549,1958.0,commuter_rail
83,84,3204,1983.0,people_mover
