nodeID_from,nodeID_to,line_id,year,mode
1,2,4441,1937.0,heavy_rail
2,3,4441,1963.0,heavy_rail
3,4,4441,1885.0,heavy_rail
4,5,4441,1938.0,heavy_rail
5,6,4441,1938.0,heavy_rail
6,7,4441,1940.0,heavy_rail
1,20,4442,1937.0,heavy_rail
8,9,4442,1937.0,heavy_rail
8,20,4442,1937.0,heavy_rail
9,10,4442,1963.0,heavy_rail
10,11,4442,1885.0,heavy_rail
11,12,4442,1940.0,heavy_rail
12,13,4442,1963.0,heavy_rail
13,14,4442,1885.0,heavy_rail
14,15,4442,1885.0,heavy_rail
15,16,4442,1949.0,heavy_rail
16,17,4442,1881.0,heavy_rail
17,18,4442,1885.0,heavy_rail
18,19,4442,1886.0,heavy_rail
1,23,4443,1937.0,heavy_rail
20,21,4443,1874.0,heavy_rail
20,23,4443,1874.0,heavy_rail
21,22,4443,1874.0,heavy_rail
