nodeID_from,nodeID_to,mode,line_id,year
10704,10702,default,967,
10702,10703,default,967,
10703,10705,default,967,
10705,10700,default,967,
10700,10708,default,967,
10708,10707,default,967,
10707,10701,default,967,
10701,10709,default,967,
10709,10706,default,967,
10706,10698,default,967,
10698,10699,default,967,
10699,10681,default,967,
10681,10684,default,967,
10684,10680,default,967,
10680,10683,default,967,
10683,10678,default,967,
10678,10685,default,967,
10685,10679,default,967,
10679,10682,default,967,
10682,10696,default,967,
10696,10697,default,967,
10697,10637,default,967,
10637,10691,default,967,
10691,10688,default,967,
10688,10677,default,967,
10677,10676,default,967,
10676,10675,default,967,
10675,10668,default,967,
10668,10641,default,967,
10641,10642,default,967,
10642,10639,default,967,
10639,10640,default,967,
10640,10671,default,967,
10671,10673,default,967,
10673,10669,default,967,
10669,10672,default,967,
10672,10638,default,967,
10638,10643,default,967,
10643,10662,default,967,
10662,10663,default,967,
10663,10654,default,967,
10654,10661,default,967,
10661,10667,default,967,
10667,10666,default,967,
10666,10644,default,967,
10644,10651,default,967,
10651,10660,default,967,
10660,10664,default,967,
10664,10659,default,967,
10659,10655,default,967,
10655,10658,default,967,
10658,10656,default,967,
10656,10657,default,967,
10657,10665,default,967,
10665,10653,default,967,
10653,10652,default,967,
10652,10674,default,967,
10674,10670,default,967,
10694,10695,default,968,
10695,10693,default,968,
10693,10692,default,968,
10692,10687,default,968,
10687,10689,default,968,
10689,10686,default,968,
10686,10690,default,968,
10690,10637,default,968,
10637,10691,default,968,
10691,10640,default,968,
10640,10639,default,968,
10639,10642,default,968,
10642,10641,default,968,
10641,10643,default,968,
10643,10638,default,968,
10638,10646,default,968,
10646,10647,default,968,
10647,10648,default,968,
10648,10645,default,968,
10645,10649,default,968,
10649,10710,default,968,
10710,10712,default,968,
10712,10711,default,968,
10711,10713,default,968,
10713,10714,default,968,
10714,10715,default,968,
10715,10716,default,968,
10716,10717,default,968,
10717,10725,default,968,
10725,10719,default,968,
10719,10720,default,968,
10720,10721,default,968,
10721,10723,default,968,
10723,10728,default,968,
10728,10727,default,968,
10727,10730,default,968,
10730,10731,default,968,
10731,10726,default,968,
10726,10732,default,968,
10737,10741,default,969,
10741,10735,default,969,
10735,10740,default,969,
10740,10742,default,969,
10742,10736,default,969,
10736,10739,default,969,
10739,10734,default,969,
10734,10738,default,969,
10738,10733,default,969,
10733,10751,default,969,
10751,10747,default,969,
10747,10748,default,969,
10748,10746,default,969,
10746,10745,default,969,
10745,10749,default,969,
10749,10750,default,969,
10750,10744,default,969,
10744,10752,default,969,
10752,10743,default,969,
10743,10653,default,969,
10653,10652,default,969,
10652,10756,default,969,
10756,10755,default,969,
10755,10753,default,969,
10753,10754,default,969,
10754,10757,default,969,
10757,10765,default,969,
10765,10759,default,969,
10759,10758,default,969,
10758,10718,default,969,
10718,10722,default,969,
10722,10725,default,969,
10725,10719,default,969,
10719,10721,default,969,
10721,10720,default,969,
10720,10729,default,969,
10729,10723,default,969,
10766,10762,default,970,
10762,10760,default,970,
10760,10764,default,970,
10764,10761,default,970,
10761,10763,default,970,
10763,10767,default,970,
10767,10765,default,970,
10765,10759,default,970,
10759,10724,default,970,
10795,10800,default,971,
10800,10793,default,971,
10793,10798,default,971,
10798,10802,default,971,
10802,10803,default,971,
10803,10792,default,971,
10792,10797,default,971,
10797,10796,default,971,
10796,10801,default,971,
10801,10791,default,971,
10791,10790,default,971,
10790,10782,default,971,
10782,10781,default,971,
10781,10780,default,971,
10780,10779,default,971,
10779,10784,default,971,
10784,10783,default,971,
10783,10778,default,971,
10778,10788,default,971,
10788,10786,default,971,
10786,10789,default,971,
10789,10785,default,971,
10785,10787,default,971,
10787,10776,default,971,
10776,10777,default,971,
10777,10768,default,971,
10768,10769,default,971,
10769,10774,default,971,
10774,10775,default,971,
10775,10770,default,971,
10770,10771,default,971,
10771,10772,default,971,
10772,10773,default,971,
10805,10804,default,972,
