nodeID_from,nodeID_to,mode,line_id,year
17005,17006,brt,1779,
17006,17007,brt,1779,
17007,17008,brt,1779,
17008,17009,brt,1779,
17009,17010,brt,1779,
17010,17011,brt,1779,
17011,17310,brt,1779,
17310,17012,brt,1779,
17012,17013,brt,1779,
17013,17679,brt,1779,
17679,17016,brt,1779,
17016,18945,brt,1779,
18945,17017,brt,1779,
17017,17018,brt,1779,
17018,17681,brt,1779,
17681,17022,brt,1779,
17022,17682,brt,1779,
17682,17024,brt,1779,
17024,17025,brt,1779,
17025,17680,brt,1779,
17680,17027,brt,1779,
17027,17028,brt,1779,
17028,17030,brt,1779,
17030,28210,brt,1779,
28210,17032,brt,1779,
17032,28211,brt,1779,
17313,17310,brt,1780,
17310,17309,brt,1780,
17309,17311,brt,1780,
17311,17312,brt,1780,
17312,17302,brt,1780,
17302,17303,brt,1780,
17303,17304,brt,1780,
17304,17305,brt,1780,
17305,17306,brt,1780,
17306,17307,brt,1780,
17307,17308,brt,1780,
17308,17301,brt,1780,
17301,17255,brt,1780,
17255,18946,brt,1780,
18946,17290,brt,1780,
17290,17291,brt,1780,
17291,17292,brt,1780,
17292,17293,brt,1780,
17293,17294,brt,1780,
17294,17296,brt,1780,
17296,17297,brt,1780,
17297,17298,brt,1780,
17298,17299,brt,1780,
17299,17300,brt,1780,
17314,17315,brt,1781,
17315,17316,brt,1781,
17316,17317,brt,1781,
17317,17318,brt,1781,
17318,17319,brt,1781,
17319,17320,brt,1781,
17320,17332,brt,1781,
17332,17333,brt,1781,
17333,17334,brt,1781,
17334,17335,brt,1781,
17335,17337,brt,1781,
17337,17313,brt,1781,
17313,17308,brt,1781,
17308,17307,brt,1781,
17307,17340,brt,1781,
17248,17256,brt,1782,
17256,17257,brt,1782,
17257,17258,brt,1782,
17258,17259,brt,1782,
17259,17260,brt,1782,
17260,17261,brt,1782,
17261,17262,brt,1782,
17262,17263,brt,1782,
17263,17265,brt,1782,
17265,17266,brt,1782,
17266,17267,brt,1782,
17267,17249,brt,1782,
17249,17042,brt,1782,
17042,17268,brt,1782,
17268,17269,brt,1782,
17269,17255,brt,1782,
17223,17207,brt,1783,
17207,17208,brt,1783,
17208,17209,brt,1783,
17209,17210,brt,1783,
17210,17211,brt,1783,
17211,17212,brt,1783,
17212,17213,brt,1783,
17213,17214,brt,1783,
17214,17215,brt,1783,
17215,17216,brt,1783,
17216,17217,brt,1783,
17217,17218,brt,1783,
17218,17220,brt,1783,
17220,17222,brt,1783,
17222,17206,brt,1783,
17206,17205,brt,1783,
17205,17203,brt,1783,
17510,17495,brt,1784,
17495,17496,brt,1784,
17496,17497,brt,1784,
17497,17498,brt,1784,
17498,17499,brt,1784,
17499,17500,brt,1784,
17500,17414,brt,1784,
17414,17501,brt,1784,
17501,17502,brt,1784,
17502,17503,brt,1784,
17503,17504,brt,1784,
17504,17505,brt,1784,
17505,17506,brt,1784,
17506,17507,brt,1784,
17507,17508,brt,1784,
17508,17509,brt,1784,
17509,17248,brt,1784,
17248,17270,brt,1784,
