nodeID_from,nodeID_to,mode,line_id,year
181,751,default,61,
751,756,default,61,
756,755,default,61,
755,754,default,61,
754,753,default,61,
753,752,default,61,
776,777,default,62,
777,780,default,62,
780,779,default,62,
779,778,default,62,
757,758,default,113,
758,759,default,113,
759,760,default,113,
760,761,default,113,
761,762,default,113,
762,763,default,113,
763,764,default,113,
764,765,default,113,
767,766,default,114,
766,768,default,114,
768,769,default,114,
769,770,default,114,
770,771,default,114,
771,772,default,114,
772,773,default,114,
773,774,default,114,
774,775,default,114,
