nodeID_from,nodeID_to,mode,line_id,year
4852,4861,default,461,
4861,4853,default,461,
4853,4854,default,461,
4854,4953,default,461,
4953,4954,default,461,
4954,4955,default,461,
4955,4956,default,461,
4956,4958,default,461,
4958,4957,default,461,
4957,4965,default,461,
4965,4964,default,461,
4964,4963,default,461,
4963,4962,default,461,
4962,4851,default,461,
4851,4850,default,461,
4850,4966,default,461,
4966,4972,default,461,
4972,4971,default,461,
4971,4970,default,461,
4970,4973,default,461,
4973,4849,default,461,
4849,4848,default,461,
4848,4846,default,461,
4846,4847,default,461,
4863,4862,default,462,
4862,4856,default,462,
4856,4855,default,462,
4855,4857,default,462,
4864,4865,default,463,
4865,4860,default,463,
4860,4967,default,463,
4967,4968,default,463,
4968,4969,default,463,
4969,4859,default,463,
4859,4858,default,463,
4858,4952,default,463,
4948,4949,default,464,
4949,4950,default,464,
4950,4951,default,464,
4951,4869,default,464,
4869,4959,default,464,
4959,4960,default,464,
4960,4868,default,464,
4868,4961,default,464,
4961,4866,default,464,
4866,4867,default,464,
4974,4977,default,467,
4975,4976,default,468,
