nodeID_from,nodeID_to,mode,line_id,year
1264,2131,heavy_rail,115,
2131,2130,heavy_rail,115,
2130,2129,heavy_rail,115,
2129,2133,heavy_rail,115,
2133,2132,heavy_rail,115,
2132,2136,heavy_rail,115,
2136,2135,heavy_rail,115,
2135,2134,heavy_rail,115,
2134,2145,heavy_rail,115,1941.0
2145,2148,heavy_rail,115,1941.0
2148,2149,heavy_rail,115,1940.0
2149,2150,heavy_rail,115,1940.0
2150,851,heavy_rail,115,1940.0
851,2144,heavy_rail,115,1940.0
2144,850,heavy_rail,115,1940.0
850,849,heavy_rail,115,
849,847,heavy_rail,115,
847,845,heavy_rail,115,
845,843,heavy_rail,115,
843,842,heavy_rail,115,
842,830,heavy_rail,115,
830,836,heavy_rail,115,
836,835,heavy_rail,115,
835,826,heavy_rail,115,
826,2142,heavy_rail,115,
2142,2141,heavy_rail,115,
2141,2140,heavy_rail,115,
2140,2146,heavy_rail,115,1941.0
2146,2143,heavy_rail,115,1941.0
2143,2147,heavy_rail,115,1939.0
2147,1838,heavy_rail,115,1940.0
1838,1839,heavy_rail,115,
1839,1263,heavy_rail,115,
1263,1262,heavy_rail,115,
1262,820,heavy_rail,115,
820,784,heavy_rail,115,
784,1261,heavy_rail,115,
1261,1260,heavy_rail,115,
1260,1259,heavy_rail,115,
1259,1258,heavy_rail,115,
1258,1257,heavy_rail,115,
1257,1266,heavy_rail,115,
1266,2021,heavy_rail,115,1907.0
2021,1256,heavy_rail,115,1907.0
1256,1836,heavy_rail,115,1933.0
1836,1834,heavy_rail,115,1933.0
1834,839,heavy_rail,115,1933.0
839,840,heavy_rail,115,1890.0
840,841,heavy_rail,115,
841,1328,heavy_rail,115,1900.0
1328,2017,heavy_rail,115,1900.0
2017,1265,heavy_rail,115,1900.0
1411,1412,heavy_rail,116,
1412,1413,heavy_rail,116,
1413,1414,heavy_rail,116,
1414,2454,heavy_rail,116,1948.0
2454,1416,heavy_rail,116,1948.0
1416,1417,heavy_rail,116,1948.0
1417,1410,heavy_rail,116,1948.0
1410,1483,heavy_rail,116,
1483,1409,heavy_rail,116,
1409,1406,heavy_rail,116,
1406,1407,heavy_rail,116,
1407,24417,heavy_rail,116,
24417,1316,heavy_rail,116,
1316,1318,heavy_rail,116,
1318,2032,heavy_rail,116,1900.0
2032,1319,heavy_rail,116,1900.0
1319,1320,heavy_rail,116,
1320,1321,heavy_rail,116,
1321,1322,heavy_rail,116,1900.0
1322,1323,heavy_rail,116,1900.0
1323,1324,heavy_rail,116,1900.0
