nodeID_from,nodeID_to,mode,line_id,year
6755,6756,default,575,
6756,6757,default,575,
6757,6758,default,575,
6758,6759,default,575,
6759,6760,default,575,
6760,6761,default,575,
6761,6762,default,575,
6762,6763,default,575,
6763,6764,default,575,
6764,6765,default,575,
6765,6766,default,575,
6766,6767,default,575,
6767,6768,default,575,
6886,6887,default,576,
6887,6888,default,576,
6888,6889,default,576,
6889,6890,default,576,
6890,6891,default,576,
6891,6892,default,576,
6892,6893,default,576,
6893,6894,default,576,
6894,6895,default,576,
6900,6899,default,577,
6899,6897,default,577,
6897,6896,default,577,
6896,6898,default,577,
6915,6914,default,578,
6914,6913,default,578,
6913,6912,default,578,
6912,6909,default,578,
6909,6908,default,578,
6908,6907,default,578,
6907,6906,default,578,
6906,6905,default,578,
6905,6904,default,578,
6904,6903,default,578,
6903,6902,default,578,
6902,6901,default,578,
6901,6910,default,578,
6910,6911,default,578,
8497,8491,default,579,
8491,8490,default,579,
8490,8494,default,579,
8494,8489,default,579,
8489,8488,default,579,
8488,8493,default,579,
8493,8496,default,579,
8496,8492,default,579,
8492,7068,default,579,
7068,7069,default,579,
7069,7070,default,579,
7070,7071,default,579,
7071,7072,default,579,
7072,7073,default,579,
7073,7074,default,579,
7074,8521,default,579,
8521,8480,default,579,
8480,8478,default,579,
8478,8479,default,579,
8479,8481,default,579,
8481,8484,default,579,
8484,8477,default,579,
8477,8482,default,579,
8482,8475,default,579,
8475,8476,default,579,
8476,8483,default,579,
8553,8554,default,580,
8554,8555,default,580,
8555,8552,default,580,
8552,8551,default,580,
8551,8550,default,580,
8550,8557,default,580,
8557,8556,default,580,
8556,8549,default,580,
8549,8547,default,580,
8547,8558,default,580,
8558,8559,default,580,
8559,8560,default,580,
8560,8545,default,580,
8545,8543,default,580,
8543,8540,default,580,
8540,8537,default,580,
8537,8541,default,580,
8541,8546,default,580,
8546,8539,default,580,
8539,8542,default,580,
8542,8538,default,580,
8538,8544,default,580,
8544,8535,default,580,
8535,8536,default,580,
8536,8534,default,580,
8534,8532,default,580,
8532,8533,default,580,
8533,8531,default,580,
8507,8499,default,582,
8499,8520,default,582,
8520,8498,default,582,
8498,8506,default,582,
8506,8505,default,582,
8505,8504,default,582,
8504,8519,default,582,
8519,8503,default,582,
8503,8502,default,582,
8502,8518,default,582,
8518,8516,default,582,
8516,8514,default,582,
8514,8515,default,582,
8515,8509,default,582,
8509,8510,default,582,
8510,8511,default,582,
8511,8512,default,582,
8512,8513,default,582,
8513,8522,default,582,
8522,8523,default,582,
8523,8517,default,582,
8517,8524,default,582,
8524,8527,default,582,
8527,8526,default,582,
8526,8525,default,582,
8525,8528,default,582,
8561,8562,default,583,
8562,8564,default,583,
8564,8563,default,583,
6882,6883,default,584,
6884,6885,default,585,
6919,6918,default,586,
6918,6917,default,586,
6917,6916,default,586,
6769,6770,default,587,
6772,6771,default,588,
6880,6881,default,589,
8474,8473,default,757,
8473,8471,default,757,
8471,8472,default,757,
8458,8459,default,758,
8459,8461,default,758,
8461,8460,default,758,
8460,8462,default,758,
8462,8463,default,758,
8463,8464,default,758,
8464,8465,default,758,
8465,8468,default,758,
8468,8466,default,758,
8466,8467,default,758,
8467,8470,default,758,
8470,8469,default,758,
