nodeID_from,nodeID_to,mode,line_id,year
32539,32538,heavy_rail,3800,
32538,32536,heavy_rail,3800,
32536,32535,heavy_rail,3800,
32535,32537,heavy_rail,3800,
32537,32534,heavy_rail,3800,
32534,32524,heavy_rail,3800,
32524,32525,heavy_rail,3800,
32525,32521,heavy_rail,3800,
32521,32522,heavy_rail,3800,
32522,32523,heavy_rail,3800,
32523,32520,heavy_rail,3800,
32520,32519,heavy_rail,3800,
32519,32518,heavy_rail,3800,
32518,32517,heavy_rail,3800,
32517,32527,heavy_rail,3800,
32527,32528,heavy_rail,3800,
32528,32529,heavy_rail,3800,
32529,32530,heavy_rail,3800,
32530,32531,heavy_rail,3800,
32531,32533,heavy_rail,3800,
32533,32532,heavy_rail,3800,
32526,32525,heavy_rail,3801,2012.0
32525,32521,heavy_rail,3801,2012.0
32521,32522,heavy_rail,3801,2012.0
32522,32523,heavy_rail,3801,2012.0
32523,32520,heavy_rail,3801,2012.0
32520,32519,heavy_rail,3801,2012.0
32519,32518,heavy_rail,3801,2012.0
32518,32517,heavy_rail,3801,2012.0
32517,32527,heavy_rail,3801,2012.0
32527,32528,heavy_rail,3801,2012.0
32528,32529,heavy_rail,3801,2012.0
32529,32530,heavy_rail,3801,2012.0
32530,32531,heavy_rail,3801,2012.0
32531,32533,heavy_rail,3801,2012.0
32533,32532,heavy_rail,3801,2012.0
32548,32540,people_mover,3802,
32540,32541,people_mover,3802,
32541,32542,people_mover,3802,
32542,32545,people_mover,3802,
32545,32543,people_mover,3802,
32543,32544,people_mover,3802,
32544,32546,people_mover,3802,
32546,32547,people_mover,3802,
32549,32550,people_mover,3803,
32550,32551,people_mover,3803,
32551,32552,people_mover,3803,
32552,32553,people_mover,3803,
32553,32554,people_mover,3803,
32554,32545,people_mover,3803,1994.0
32545,32543,people_mover,3803,1994.0
32543,32544,people_mover,3803,1994.0
32544,32546,people_mover,3803,1994.0
32546,32548,people_mover,3803,1994.0
32548,32540,people_mover,3803,1994.0
32540,32541,people_mover,3803,1994.0
32541,32542,people_mover,3803,1994.0
32548,32540,people_mover,3804,1994.0
32540,32541,people_mover,3804,1994.0
32541,32542,people_mover,3804,1994.0
32542,32545,people_mover,3804,1994.0
32545,32543,people_mover,3804,1994.0
32543,32544,people_mover,3804,1994.0
32544,32546,people_mover,3804,1994.0
32546,32555,people_mover,3804,1994.0
32555,32556,people_mover,3804,
32556,32557,people_mover,3804,
32557,32558,people_mover,3804,
32558,32559,people_mover,3804,
32559,32560,people_mover,3804,
32615,32614,commuter_rail,3814,
32614,32613,commuter_rail,3814,
32613,32612,commuter_rail,3814,
32612,32611,commuter_rail,3814,
32611,32610,commuter_rail,3814,
32610,32609,commuter_rail,3814,
32609,32608,commuter_rail,3814,
32608,32607,commuter_rail,3814,
32607,32606,commuter_rail,3814,
32606,32604,commuter_rail,3814,
32604,32602,commuter_rail,3814,
32602,32600,commuter_rail,3814,
32600,32599,commuter_rail,3814,
32599,32597,commuter_rail,3814,
32597,32595,commuter_rail,3814,
32595,32592,commuter_rail,3814,
32592,32594,commuter_rail,3814,
