nodeID_from,nodeID_to,mode,line_id,year
34464,34463,heavy_rail,741,
34463,34462,heavy_rail,741,
34462,34460,heavy_rail,741,
34460,34461,heavy_rail,741,
34461,34459,heavy_rail,741,
34459,34448,heavy_rail,741,
34448,34447,heavy_rail,741,
34447,34446,heavy_rail,741,
34446,34445,heavy_rail,741,
34445,34425,heavy_rail,741,1980.0
34425,34444,heavy_rail,741,1980.0
34444,34416,heavy_rail,741,
34416,34413,heavy_rail,741,
34413,34414,heavy_rail,741,
34414,34415,heavy_rail,741,
34415,34412,heavy_rail,741,
34412,34411,heavy_rail,741,
34411,34409,heavy_rail,741,
34409,34410,heavy_rail,741,
34410,34398,heavy_rail,741,
34398,34399,heavy_rail,741,
34399,34400,heavy_rail,741,
34400,34407,heavy_rail,741,
34407,34408,heavy_rail,741,
34408,34401,heavy_rail,741,
34401,34402,heavy_rail,741,
34402,34403,heavy_rail,741,
34403,34404,heavy_rail,741,
34404,34406,heavy_rail,741,
34406,34405,heavy_rail,741,
34423,34420,heavy_rail,742,
34420,34419,heavy_rail,742,
34419,34424,heavy_rail,742,
34424,34422,heavy_rail,742,
34422,34421,heavy_rail,742,
34421,34418,heavy_rail,742,
34418,34425,heavy_rail,742,
34425,34417,heavy_rail,742,
34417,34426,heavy_rail,742,
34426,34427,heavy_rail,742,
34427,34428,heavy_rail,742,
34428,34429,heavy_rail,742,
34429,34430,heavy_rail,742,
34430,34411,heavy_rail,742,
34411,34432,heavy_rail,742,
34432,34431,heavy_rail,742,
34431,34433,heavy_rail,742,
34433,34436,heavy_rail,742,
34436,34437,heavy_rail,742,
34437,34443,heavy_rail,742,
34443,34435,heavy_rail,742,
34435,34438,heavy_rail,742,
34438,34439,heavy_rail,742,
34439,34440,heavy_rail,742,
34440,34441,heavy_rail,742,
34441,34442,heavy_rail,742,
34448,34450,heavy_rail,743,1988.0
34450,34449,heavy_rail,743,
34449,34451,heavy_rail,743,
34451,34458,heavy_rail,743,
34458,34452,heavy_rail,743,
34452,34453,heavy_rail,743,
34453,34454,heavy_rail,743,
34454,34407,heavy_rail,743,1986.0
34407,34455,heavy_rail,743,1986.0
34455,34456,heavy_rail,743,
34456,34457,heavy_rail,743,
34411,8455,heavy_rail,744,1967.0
8455,34397,heavy_rail,744,
35345,35344,light_rail,4438,
35344,35346,light_rail,4438,
35346,35347,light_rail,4438,
35347,35348,light_rail,4438,
35348,34465,light_rail,4438,
34465,35343,light_rail,4438,
35343,35349,light_rail,4438,
35349,35350,light_rail,4438,
35350,35351,light_rail,4438,
35351,35352,light_rail,4438,
35352,35353,light_rail,4438,
35353,35354,light_rail,4438,
