nodeID_from,nodeID_to,mode,line_id,year
5967,5965,default,524,
5965,5985,default,524,
5985,5987,default,524,
5987,5968,default,524,
5968,5969,default,524,
5969,5970,default,524,
5970,5971,default,524,
5971,5972,default,524,
5972,5973,default,524,
5973,5974,default,524,
5974,5975,default,524,
5975,5976,default,524,
5976,5977,default,524,
5977,5944,default,524,
5944,5945,default,524,
5945,5946,default,524,
5946,5947,default,524,
5947,5948,default,524,
5948,5949,default,524,
5949,5950,default,524,
5950,5951,default,524,
5951,5952,default,524,
5952,5953,default,524,
5953,5954,default,524,
5954,5955,default,524,
5955,5957,default,524,
5957,5959,default,524,
5959,5961,default,524,
5961,5963,default,524,
5984,5983,default,525,
5983,5978,default,525,
5978,5979,default,525,
5979,5980,default,525,
5980,5981,default,525,
5981,5982,default,525,
5982,5956,default,525,
5956,5958,default,525,
5958,5960,default,525,
5960,5962,default,525,
5962,5964,default,525,
5964,5966,default,525,
5966,5986,default,525,
5986,5988,default,525,
5988,5995,default,525,
5995,6000,default,525,
6000,5999,default,525,
5999,5998,default,525,
5998,5997,default,525,
5997,5996,default,525,
5989,5990,default,526,
5993,5992,default,527,
5992,5991,default,527,
5991,5994,default,527,
