nodeID_from,nodeID_to,mode,line_id,year
2839,2840,default,237,
2840,2841,default,237,
2841,2842,default,237,
2842,2843,default,237,
2843,2844,default,237,
2844,2845,default,237,
2845,2846,default,237,
2846,2847,default,237,
2847,2848,default,237,
2848,2849,default,237,
2849,2850,default,237,
2850,2851,default,237,
2851,2852,default,237,
2852,2853,default,237,
2853,2854,default,237,
2854,2855,default,237,
2855,2856,default,237,
2856,2857,default,237,
2857,2858,default,237,
2858,2859,default,237,
2859,2860,default,237,
2860,3003,default,237,
3003,3004,default,237,
3004,36151,default,237,
2861,2862,default,238,
2862,2863,default,238,
2863,2864,default,238,
2864,2865,default,238,
2865,2866,default,238,
2866,2867,default,238,
2867,2868,default,238,
2868,2869,default,238,
2869,2870,default,238,
2870,2871,default,238,
2871,2872,default,238,
2872,2873,default,238,
2873,2874,default,238,
2874,2875,default,238,
2875,2876,default,238,
2876,2877,default,238,
2877,2878,default,238,
2878,2879,default,238,
2879,2880,default,238,
2880,2881,default,238,
2881,2882,default,238,
2882,2883,default,238,
2883,2884,default,238,
2884,2885,default,238,
2885,2886,default,238,
2886,2887,default,238,
3001,3000,default,239,
3000,2999,default,239,
2999,2998,default,239,
2998,3002,default,239,
3002,2997,default,239,
2997,2996,default,239,
2996,2995,default,239,
2995,2994,default,239,
2994,2993,default,239,
2993,2992,default,239,
2992,2991,default,239,
2991,2888,default,239,
2888,2889,default,239,
2889,2890,default,239,
2890,2895,default,239,
2895,2896,default,239,
2896,2897,default,239,
2897,2898,default,239,
2898,2899,default,239,
2899,2900,default,239,
2900,2901,default,239,
2901,2891,default,239,
2891,2892,default,239,
2892,2893,default,239,
2893,2894,default,239,
3015,3014,default,250,
3014,3005,default,250,
3005,3006,default,250,
3006,3007,default,250,
3007,3008,default,250,
3008,3009,default,250,
3009,3010,default,250,
3010,3011,default,250,
3011,3012,default,250,
3012,3013,default,250,
3013,3016,default,250,
3016,3017,default,250,
3017,3018,default,250,
3018,3019,default,250,
3065,3067,default,251,
3067,3068,default,251,
3068,3069,default,251,
3069,3070,default,251,
3070,3071,default,251,
3071,3072,default,251,
3072,3073,default,251,
3073,3075,default,251,
3075,3074,default,251,
3074,3076,default,251,
3076,3077,default,251,
3077,3078,default,251,
3078,3079,default,251,
3079,3080,default,251,
3080,3081,default,251,
3081,3083,default,251,
3083,3085,default,251,
3085,3088,default,251,
3088,3090,default,251,
3090,3091,default,251,
3091,3093,default,251,
3093,3094,default,251,
3094,3096,default,251,
3096,3097,default,251,
3097,3064,default,251,
3064,36153,default,251,
