city,nodeID,nodeLabel,latitude,longitude,mode,year
St. Louis,32375,Grand,38.6293963,-90.2350764,light_rail,1993.0
St. Louis,32376,Convention Center,38.6301509,-90.1891539,light_rail,1993.0
St. Louis,32377,8th & Pine,38.6278615,-90.1926746,light_rail,1993.0
St. Louis,32378,Forest Park-DeBaliviere,38.6477145,-90.2843028,light_rail,1993.0
St. Louis,32379,Cortex,38.6336362,-90.250947,light_rail,2018.0
St. Louis,32380,Stadium,38.6237022,-90.1943695,light_rail,1993.0
St. Louis,32381,Union Station,38.6265515,-90.2065985,light_rail,1993.0
St. Louis,32382,Civic Center,38.6245607,-90.2032189,light_rail,1993.0
St. Louis,32383,Central West End,38.6357697,-90.2617849,light_rail,1993.0
St. Louis,32384,Laclede's Landing,38.6293778,-90.1836148,light_rail,1993.0
St. Louis,32385,East Riverfront,38.6283724,-90.1741974,light_rail,1994.0
St. Louis,32386,5th & Missouri,38.6250725,-90.1593101,light_rail,1993.0
St. Louis,32387,Emerson Park,38.6285741,-90.1366793,light_rail,2001.0
St. Louis,32388,Wellston,38.6681312,-90.2982787,light_rail,1993.0
St. Louis,32389,UMSL South,38.7049293,-90.3050938,light_rail,1993.0
St. Louis,32390,Rock Road,38.6849163,-90.3013839,light_rail,1993.0
St. Louis,32391,Delmar Loop,38.6555389,-90.2945108,light_rail,1993.0
St. Louis,32392,UMSL North,38.7128302,-90.3061651,light_rail,1993.0
St. Louis,32393,North Hanley,38.7199274,-90.3151635,light_rail,1993.0
St. Louis,32394,Lambert Airport Terminal 2,38.7363108,-90.3563663,light_rail,1998.0
St. Louis,32395,Lambert Airport Terminal 1,38.7412154,-90.3646835,light_rail,1994.0
St. Louis,32396,Jackie Joyner-Kersee Center,38.6230867,-90.1240732,light_rail,2001.0
St. Louis,32397,Washington Park,38.6135414,-90.0947325,light_rail,2001.0
St. Louis,32398,Fairview Heights,38.5932553,-90.0476024,light_rail,2001.0
St. Louis,32399,Memorial Hospital,38.5575492,-90.0154085,light_rail,2001.0
St. Louis,32400,Swansea,38.535805,-89.9870002,light_rail,2001.0
St. Louis,32401,Belleville,38.5219649,-89.9746552,light_rail,2001.0
St. Louis,32402,College,38.5162932,-89.9196207,light_rail,2001.0
St. Louis,32403,Shiloh-Scott,38.5389501,-89.8790311,light_rail,2003.0
St. Louis,32404,Skinker,38.6492184,-90.2998348,light_rail,2006.0
St. Louis,32405,University City-Big Bend,38.6515304,-90.3145282,light_rail,2006.0
St. Louis,32406,Clayton,38.6456064,-90.3395981,light_rail,2006.0
St. Louis,32407,Forsyth,38.6490422,-90.3278888,light_rail,2006.0
St. Louis,32408,Richmond Heights,38.6351021,-90.3422334,light_rail,2006.0
St. Louis,32409,Brentwood I-64,38.6287044,-90.3380485,light_rail,2006.0
St. Louis,32410,Maplewood-Manchester,38.6143698,-90.3315126,light_rail,2006.0
St. Louis,32411,Sunnen,38.6078285,-90.3302595,light_rail,2006.0
St. Louis,32412,Shrewsbury-Lansdowne I-44,38.5934547,-90.3194096,light_rail,2006.0
