city,nodeID,nodeLabel,latitude,longitude,mode,year
St. Petersburg,30571,Площадь Восстания,59.9300047,30.3587704,heavy_rail,1955.0
St. Petersburg,30572,Владимирская,59.9260673,30.3472866,heavy_rail,1955.0
St. Petersburg,30573,Пушкинская,59.9214169,30.3327472,heavy_rail,1956.0
St. Petersburg,30574,Чернышевская,59.9430789,30.3605451,heavy_rail,1958.0
St. Petersburg,30575,Площадь Ленина,59.9571966,30.3551708,heavy_rail,1958.0
St. Petersburg,30576,Выборгская,59.96938,30.3492819,heavy_rail,1975.0
St. Petersburg,30577,Лесная,59.9865714,30.3455216,heavy_rail,1975.0
St. Petersburg,30578,Площадь Мужества,60.001508,30.3672032,heavy_rail,1975.0
St. Petersburg,30579,Политехническая,60.0099366,30.3742168,heavy_rail,1975.0
St. Petersburg,30580,Академическая,60.0121972,30.3926811,heavy_rail,1975.0
St. Petersburg,30581,Гражданский проспект,60.0332764,30.4166268,heavy_rail,1978.0
St. Petersburg,30582,Девяткино,60.0502738,30.4425709,heavy_rail,1978.0
St. Petersburg,30583,Технологический институт 1,59.9151857,30.3174801,heavy_rail,1961.0
St. Petersburg,30584,Технологический институт 1,59.9152128,30.3172056,heavy_rail,1955.0
St. Petersburg,30585,Балтийская,59.9077909,30.3026087,heavy_rail,1955.0
St. Petersburg,30586,Кировский завод,59.8782685,30.2604079,heavy_rail,1955.0
St. Petersburg,30587,Проспект Ветеранов,59.8420125,30.2520188,heavy_rail,1977.0
St. Petersburg,30588,Ленинский проспект,59.8506448,30.268218,heavy_rail,1977.0
St. Petersburg,30589,Нарвская,59.899732,30.273868,heavy_rail,1955.0
St. Petersburg,30590,Автово,59.8664599,30.2608108,heavy_rail,1955.0
St. Petersburg,30591,Да́чное,59.8549256316347,30.270097467325286,heavy_rail,1966.0
St. Petersburg,30592,Московская,59.8513976,30.3221334,heavy_rail,1969.0
St. Petersburg,30593,Парк Победы,59.8676089,30.3213632,heavy_rail,1961.0
St. Petersburg,30594,Московские ворота,59.8926611,30.3178656,heavy_rail,1961.0
St. Petersburg,30595,Фрунзенская,59.9052935,30.3177955,heavy_rail,1961.0
St. Petersburg,30596,Звёздная,59.8328177,30.3514235,heavy_rail,1972.0
St. Petersburg,30597,Электросила,59.8802786,30.3188996,heavy_rail,1961.0
St. Petersburg,30598,Купчино,59.8296759,30.3754405,heavy_rail,1972.0
St. Petersburg,30599,Международная,59.868654,30.3819625,heavy_rail,2012.0
St. Petersburg,30600,Бухарестская,59.8823515,30.3704776,heavy_rail,2012.0
St. Petersburg,30601,Обводный канал,59.9131443,30.3510416,heavy_rail,2010.0
St. Petersburg,30602,Комендантский проспект,60.0103986,30.2567524,heavy_rail,2005.0
St. Petersburg,30603,Звенигородская,59.9220089,30.332748,heavy_rail,2008.0
St. Petersburg,30604,Садовая,59.9275958,30.3195495,heavy_rail,1991.0
St. Petersburg,30605,Сенная площадь,59.9261352,30.3199134,heavy_rail,1963.0
St. Petersburg,30606,Адмиралтейская,59.9362077,30.3139481,heavy_rail,2011.0
St. Petersburg,30607,Волковская,59.8966186,30.3606365,heavy_rail,2008.0
St. Petersburg,30608,Крестовский остров,59.9706746,30.2623223,heavy_rail,1999.0
St. Petersburg,30609,Старая Деревня,59.9876856,30.2557638,heavy_rail,1999.0
St. Petersburg,30610,Спортивная,59.9500989,30.2891949,heavy_rail,1997.0
St. Petersburg,30611,Чкаловская,59.9593437,30.2926315,heavy_rail,1997.0
St. Petersburg,30612,Невский проспект,59.9339817,30.3281934,heavy_rail,1963.0
St. Petersburg,30613,Горьковская,59.9551252,30.3192785,heavy_rail,1963.0
St. Petersburg,30614,Петроградская,59.9648929,30.3127204,heavy_rail,1963.0
St. Petersburg,30615,Чёрная речка,59.9872249,30.3007391,heavy_rail,1982.0
St. Petersburg,30616,Пионерская,60.0042832,30.2961949,heavy_rail,1982.0
St. Petersburg,30617,Удельная,60.0179742,30.3180541,heavy_rail,1982.0
St. Petersburg,30618,Озерки,60.0353277,30.3208594,heavy_rail,1988.0
St. Petersburg,30619,Проспект Просвещения,60.049443,30.3327871,heavy_rail,1988.0
St. Petersburg,30620,Парнас,60.066883,30.3340247,heavy_rail,2006.0
St. Petersburg,30621,Маяковская,59.9306269,30.3577159,heavy_rail,1967.0
St. Petersburg,30622,Василеостровская,59.9432602,30.2754246,heavy_rail,1967.0
St. Petersburg,30623,Беговая,59.9872609,30.2022313,heavy_rail,2018.0
St. Petersburg,30624,Зенит,59.9719559,30.2119509,heavy_rail,2018.0
St. Petersburg,30625,Гостиный двор,59.9343126,30.3302368,heavy_rail,1967.0
St. Petersburg,30626,Приморская,59.948797,30.2380167,heavy_rail,1979.0
St. Petersburg,30627,Пролетарская,59.866365,30.4674468,heavy_rail,1981.0
St. Petersburg,30628,Обухово,59.849768,30.4599465,heavy_rail,1981.0
St. Petersburg,30629,Ломоносовская,59.8788561,30.4403201,heavy_rail,1970.0
St. Petersburg,30630,Елизаровская,59.8981054,30.4218376,heavy_rail,1970.0
St. Petersburg,30631,Площадь Александра Невского 1,59.9233834,30.386918,heavy_rail,1967.0
St. Petersburg,30632,Рыбацкое,59.8308599,30.5003202,heavy_rail,1984.0
St. Petersburg,30633,Спасская,59.9263304,30.3178555,heavy_rail,2009.0
St. Petersburg,30634,Новочеркасская,59.929641,30.4151752,heavy_rail,1985.0
St. Petersburg,30635,Улица Дыбенко,59.9090475,30.481888,heavy_rail,1987.0
St. Petersburg,30636,Проспект Большевиков,59.921077,30.4641024,heavy_rail,1985.0
St. Petersburg,30637,Ладожская,59.931565,30.4424603,heavy_rail,1985.0
St. Petersburg,30638,Площадь Александра Невского 2,59.922271,30.3848523,heavy_rail,1985.0
St. Petersburg,30639,Лиговский проспект,59.9216378,30.3593559,heavy_rail,1991.0
St. Petersburg,30640,Достоевская,59.9269321,30.345849,heavy_rail,1991.0
St. Petersburg,30641,Шушары,59.820079,30.4328615,heavy_rail,2019.0
St. Petersburg,30642,Дунайская,59.8399976,30.4109131,heavy_rail,2019.0
St. Petersburg,30643,Проспект Славы,59.8567294,30.3955198,heavy_rail,2019.0
